settings,model,acc,roc,f1,precision,recall,specificity
Basic,RandomForest,0.55±0.02,0.62±0.02,0.51±0.02,0.55±0.03,0.5±0.03,0.6±0.02
Basic,GausNaiveBayes,0.61±0.02,0.7±0.01,0.66±0.02,0.58±0.02,0.79±0.03,0.44±0.03
Basic,LogReg,0.62±0.02,0.65±0.02,0.57±0.03,0.63±0.05,0.56±0.02,0.68±0.03
