settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
Language,eye,0.7,0.75,0.66,0.72,0.64,0.76,0.02,0.03,0.04,0.04,0.03,0.05
Language,speech,0.61,0.67,0.56,0.62,0.54,0.67,0.03,0.03,0.04,0.04,0.02,0.03
Eye,eye,0.7,0.75,0.66,0.72,0.64,0.76,0.02,0.03,0.04,0.04,0.03,0.05
Eye,speech,,,,,,,,,,,,
Audio,eye,,,,,,,,,,,,
Audio,speech,0.67,0.71,0.64,0.7,0.61,0.73,0.02,0.02,0.03,0.02,0.01,0.03
Eye_Reading,eye,0.68,0.72,0.63,0.67,0.62,0.72,0.03,0.04,0.04,0.05,0.03,0.03
Eye_Reading,speech,,,,,,,,,,,,
NLP_Reading,eye,0.68,0.72,0.63,0.67,0.62,0.72,0.03,0.04,0.04,0.05,0.03,0.03
NLP_Reading,speech,0.69,0.75,0.63,0.71,0.6,0.77,0.03,0.04,0.05,0.04,0.02,0.04
ET_Basic,eye,0.59,0.65,0.56,0.58,0.56,0.61,0.02,0.03,0.02,0.04,0.03,0.03
ET_Basic,speech,,,,,,,,,,,,
