settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
Language,speech,0.61,0.67,0.57,0.62,0.55,0.67,0.02,0.04,0.03,0.04,0.02,0.03
Language,Memory,,,,,,,,,,,,
Language,eye,,,,,,,,,,,,
Language,PupilCalib,,,,,,,,,,,,
Memory,speech,,,,,,,,,,,,
Memory,Memory,0.68,0.72,0.64,0.71,0.61,0.75,0.01,0.02,0.03,0.02,0.01,0.02
Memory,eye,,,,,,,,,,,,
Memory,PupilCalib,,,,,,,,,,,,
Eye,speech,,,,,,,,,,,,
Eye,Memory,,,,,,,,,,,,
Eye,eye,0.7,0.76,0.65,0.72,0.63,0.77,0.03,0.03,0.03,0.03,0.03,0.03
Eye,PupilCalib,,,,,,,,,,,,
Audio,speech,0.68,0.72,0.64,0.71,0.61,0.75,0.01,0.02,0.03,0.02,0.01,0.02
Audio,Memory,,,,,,,,,,,,
Audio,eye,,,,,,,,,,,,
Audio,PupilCalib,,,,,,,,,,,,
PupilCalib,speech,,,,,,,,,,,,
PupilCalib,Memory,,,,,,,,,,,,
PupilCalib,eye,,,,,,,,,,,,
PupilCalib,PupilCalib,0.59,0.66,0.56,0.59,0.57,0.62,0.03,0.03,0.03,0.04,0.03,0.04
Eye_Reading,speech,,,,,,,,,,,,
Eye_Reading,Memory,,,,,,,,,,,,
Eye_Reading,eye,0.67,0.72,0.62,0.67,0.61,0.73,0.03,0.04,0.05,0.04,0.03,0.04
Eye_Reading,PupilCalib,,,,,,,,,,,,
NLP_Reading,speech,0.7,0.76,0.65,0.72,0.63,0.78,0.03,0.03,0.04,0.03,0.02,0.04
NLP_Reading,Memory,,,,,,,,,,,,
NLP_Reading,eye,,,,,,,,,,,,
NLP_Reading,PupilCalib,,,,,,,,,,,,
ET_Basic,speech,,,,,,,,,,,,
ET_Basic,Memory,,,,,,,,,,,,
ET_Basic,eye,0.59,0.66,0.56,0.59,0.57,0.62,0.03,0.03,0.03,0.04,0.03,0.04
ET_Basic,PupilCalib,,,,,,,,,,,,
