settings,model,acc,roc,f1,precision,recall,specificity
Basic,RandomForest,0.49±0.03,0.52±0.03,0.4±0.04,0.44±0.04,0.39±0.05,0.59±0.01
Basic,GausNaiveBayes,0.52±0.03,0.52±0.03,0.29±0.02,0.47±0.06,0.24±0.01,0.77±0.05
Basic,LogReg,0.52±0.02,0.48±0.04,0.29±0.06,0.48±0.07,0.23±0.06,0.77±0.05
