settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
_Audio,RandomForest,0.67,0.75,0.64,0.7,0.61,0.74,0.02,0.03,0.03,0.03,0.01,0.03
_Audio,GausNaiveBayes,0.69,0.77,0.64,0.74,0.59,0.78,0.01,0.01,0.02,0.01,0.01,0.02
_Audio,LogReg,0.65,0.71,0.64,0.66,0.63,0.67,0.03,0.03,0.04,0.03,0.02,0.04
