settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,RandomForest,0.56±0.03,0.6±0.03,0.52±0.03,0.56±0.04,0.51±0.03,0.62±0.04
Eye_Reading,GausNaiveBayes,0.6±0.01,0.61±0.03,0.38±0.02,0.71±0.08,0.29±0.02,0.9±0.02
Eye_Reading,LogReg,0.51±0.02,0.56±0.02,0.57±0.02,0.5±0.02,0.72±0.04,0.32±0.03
