settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
_Eye,RandomForest,0.69,0.77,0.65,0.71,0.62,0.75,0.02,0.03,0.04,0.04,0.03,0.04
_Eye,GausNaiveBayes,0.65,0.73,0.66,0.62,0.73,0.57,0.02,0.03,0.02,0.05,0.02,0.03
_Eye,LogReg,0.67,0.74,0.64,0.67,0.65,0.68,0.02,0.04,0.03,0.05,0.03,0.03
_Language,RandomForest,0.63,0.68,0.59,0.64,0.58,0.68,0.04,0.04,0.05,0.04,0.04,0.04
_Language,GausNaiveBayes,0.65,0.71,0.64,0.64,0.66,0.64,0.03,0.03,0.03,0.04,0.02,0.03
_Language,LogReg,0.64,0.7,0.62,0.64,0.64,0.65,0.02,0.03,0.03,0.03,0.02,0.04
