settings,model,acc,roc,f1,precision,recall,specificity
Eye_Reading,RandomForest,0.66±0.03,0.75±0.03,0.62±0.04,0.66±0.05,0.61±0.04,0.71±0.04
Eye_Reading,GausNaiveBayes,0.65±0.01,0.72±0.02,0.53±0.02,0.69±0.05,0.46±0.02,0.81±0.01
Eye_Reading,LogReg,0.69±0.02,0.73±0.02,0.64±0.03,0.72±0.03,0.61±0.03,0.77±0.02
