settings,model,acc,roc,f1,precision,recall,specificity
overall,stack,0.71±0.05,0.75±0.04,0.67±0.05,0.74±0.07,0.64±0.06,0.77±0.07
Audio,Audio,0.66±0.03,0.7±0.04,0.6±0.03,0.69±0.05,0.56±0.05,0.76±0.05
CookieTheft,CookieTheft,0.65±0.05,0.72±0.04,0.61±0.06,0.71±0.1,0.59±0.1,0.72±0.14
Basic,ET_Basic,0.65±0.03,0.66±0.02,0.64±0.05,0.63±0.03,0.69±0.08,0.63±0.06
Eye,Eye,0.65±0.05,0.67±0.04,0.61±0.05,0.64±0.07,0.63±0.08,0.66±0.09
Eye_Reading,Eye_Reading,0.68±0.02,0.71±0.03,0.62±0.04,0.7±0.04,0.6±0.06,0.76±0.06
Language,Language,0.67±0.03,0.72±0.03,0.64±0.04,0.66±0.03,0.64±0.05,0.69±0.03
Memory,Memory,0.66±0.03,0.7±0.04,0.6±0.03,0.69±0.05,0.56±0.05,0.76±0.05
NLP_Reading,NLP_Reading,0.71±0.03,0.74±0.02,0.67±0.04,0.74±0.04,0.65±0.04,0.78±0.03
PupilCalib,PupilCalib,0.65±0.03,0.66±0.02,0.64±0.05,0.63±0.03,0.69±0.08,0.63±0.06
Reading,Reading,0.69±0.04,0.76±0.03,0.64±0.06,0.75±0.06,0.6±0.09,0.78±0.08
