settings,model,acc,roc,f1,precision,recall,specificity
overall,average,0.66±0.02,0.72±0.02,0.63±0.03,0.65±0.03,0.63±0.04,0.67±0.03
Audio,average,0.66±0.02,0.72±0.02,0.63±0.03,0.65±0.03,0.63±0.04,0.67±0.03
CookieTheft,average,0.69±0.02,0.76±0.02,0.68±0.03,0.68±0.02,0.71±0.04,0.68±0.02
Basic,average,0.64±0.03,0.68±0.02,0.6±0.03,0.64±0.03,0.61±0.04,0.68±0.04
Eye,average,0.62±0.02,0.68±0.03,0.56±0.02,0.63±0.03,0.55±0.03,0.7±0.03
Eye_Reading,average,0.66±0.02,0.71±0.02,0.6±0.02,0.67±0.03,0.57±0.02,0.75±0.03
Language,average,0.69±0.02,0.76±0.02,0.68±0.03,0.68±0.02,0.71±0.04,0.68±0.02
Memory,average,0.66±0.02,0.72±0.02,0.63±0.03,0.65±0.03,0.63±0.04,0.67±0.03
NLP_Reading,average,0.71±0.02,0.75±0.02,0.67±0.02,0.73±0.02,0.65±0.03,0.77±0.04
PupilCalib,average,0.64±0.03,0.68±0.02,0.6±0.03,0.64±0.03,0.61±0.04,0.68±0.04
Reading,average,0.71±0.02,0.75±0.02,0.67±0.02,0.73±0.02,0.65±0.03,0.77±0.04
