settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
Language,eye,0.71,0.76,0.67,0.72,0.66,0.75,0.03,0.04,0.04,0.04,0.04,0.04
Language,speech,0.63,0.68,0.58,0.64,0.56,0.68,0.04,0.04,0.05,0.04,0.03,0.04
Language,PupilCalib,,,,,,,,,,,,
Language,Memory,,,,,,,,,,,,
Memory,eye,,,,,,,,,,,,
Memory,speech,,,,,,,,,,,,
Memory,PupilCalib,0.6,0.66,0.57,0.59,0.58,0.61,0.03,0.03,0.03,0.04,0.03,0.04
Memory,Memory,0.68,0.71,0.64,0.7,0.61,0.74,0.02,0.02,0.02,0.02,0.01,0.02
Eye,eye,0.71,0.76,0.67,0.72,0.66,0.75,0.03,0.04,0.04,0.04,0.04,0.04
Eye,speech,,,,,,,,,,,,
Eye,PupilCalib,,,,,,,,,,,,
Eye,Memory,,,,,,,,,,,,
Audio,eye,,,,,,,,,,,,
Audio,speech,0.68,0.71,0.64,0.7,0.61,0.74,0.02,0.02,0.02,0.02,0.01,0.02
Audio,PupilCalib,,,,,,,,,,,,
Audio,Memory,,,,,,,,,,,,
PupilCalib,eye,,,,,,,,,,,,
PupilCalib,speech,,,,,,,,,,,,
PupilCalib,PupilCalib,0.6,0.66,0.57,0.59,0.58,0.61,0.03,0.03,0.03,0.04,0.03,0.04
PupilCalib,Memory,,,,,,,,,,,,
Reading,eye,,,,,,,,,,,,
Reading,speech,,,,,,,,,,,,
Reading,PupilCalib,0.6,0.66,0.57,0.59,0.58,0.61,0.03,0.03,0.03,0.04,0.03,0.04
Reading,Memory,,,,,,,,,,,,
CookieTheft,eye,,,,,,,,,,,,
CookieTheft,speech,,,,,,,,,,,,
CookieTheft,PupilCalib,0.6,0.66,0.57,0.59,0.58,0.61,0.03,0.03,0.03,0.04,0.03,0.04
CookieTheft,Memory,,,,,,,,,,,,
Eye_Reading,eye,0.66,0.71,0.61,0.66,0.59,0.72,0.03,0.02,0.04,0.02,0.02,0.05
Eye_Reading,speech,,,,,,,,,,,,
Eye_Reading,PupilCalib,,,,,,,,,,,,
Eye_Reading,Memory,,,,,,,,,,,,
stack,eye,,,,,,,,,,,,
stack,speech,,,,,,,,,,,,
stack,PupilCalib,0.6,0.66,0.57,0.59,0.58,0.61,0.03,0.03,0.03,0.04,0.03,0.04
stack,Memory,0.68,0.71,0.64,0.7,0.61,0.74,0.02,0.02,0.02,0.02,0.01,0.02
NLP_Reading,eye,0.66,0.71,0.61,0.66,0.59,0.72,0.03,0.02,0.04,0.02,0.02,0.05
NLP_Reading,speech,0.68,0.74,0.63,0.7,0.6,0.76,0.02,0.02,0.05,0.02,0.02,0.03
NLP_Reading,PupilCalib,,,,,,,,,,,,
NLP_Reading,Memory,,,,,,,,,,,,
ET_Basic,eye,0.6,0.66,0.57,0.59,0.58,0.61,0.03,0.03,0.03,0.04,0.03,0.04
ET_Basic,speech,,,,,,,,,,,,
ET_Basic,PupilCalib,,,,,,,,,,,,
ET_Basic,Memory,,,,,,,,,,,,
