settings,model,acc,roc,f1,precision,recall,specificity
Eye,RandomForest,0.7±0.02,0.77±0.02,0.66±0.03,0.71±0.03,0.64±0.03,0.75±0.03
Eye,GausNaiveBayes,0.65±0.02,0.73±0.02,0.66±0.03,0.62±0.02,0.73±0.05,0.57±0.03
Eye,LogReg,0.66±0.02,0.72±0.03,0.62±0.03,0.67±0.04,0.61±0.03,0.71±0.04
