,interview,task,meanabspathangles,meanpathdistance,meanrelpathangles,stddevabspathangles,stddevpathdistance,stddevrelpathangles,eyemovementvelocity,abspathanglesrate,relpathanglesrate,sumabspathangles,sumpathdistance,sumrelpathangles
0,EA-007,EA-007_allsc,1.53672185058,90.1952037539,1.04235458849,1.16291512835,63.7642057151,1.00655059314,0.0280075420992,0.000477185040153,0.000301729458836,90.6665891842,5321.51702148,57.3295023672
1,EA-007,Reading,1.47306293243,93.6428941409,1.21187966186,1.16204444568,64.486823403,1.02639315674,0.041582102194,0.000654113202678,0.000516609447329,36.8265733108,2341.07235352,29.0851118846
2,EA-007,Memory,1.48208546426,118.766754969,0.677627574876,1.13110886288,69.2738275179,0.915664552099,0.0152266697254,0.00019001298701,7.96365700877e-05,17.7850255712,1425.20105963,7.45390332364
3,EA-007,CookieTheft,1.19808094212,91.3922213745,0.950342260092,1.15993572296,68.9667170413,1.0741479427,0.0353921645879,0.000463963751568,0.000334568653438,13.1788903633,1005.31443512,9.50342260092
4,EA-007,PupilCalib,2.079645449,49.9935612006,1.1287064558,1.177294147,27.8874205033,1.02191929457,0.047006511087,0.0019553893443,0.000964788833062,22.8760999389,549.929173207,11.287064558
5,EA-009,EA-009_allsc,1.37272884455,95.9992570478,1.19743259059,1.11971096734,94.8494338082,1.0420168724,0.086326413075,0.00123441327484,0.00104623285168,193.554767081,13535.8952437,164.048264911
6,EA-009,Reading,1.10257273898,151.743638566,1.62245955501,1.21260161875,131.03046998,1.22370847661,0.127435968484,0.000925952653724,0.00133087186654,47.410627776,6524.97645833,68.1433013105
7,EA-009,Memory,1.49523715554,69.7922049357,0.916740343533,0.887273309873,38.4473809752,0.661813578965,0.0498568120142,0.00106813873912,0.000635622047202,50.8380632882,2372.93496782,30.2524313366
8,EA-009,CookieTheft,1.42882709027,77.9235550618,1.07054377279,1.10288233731,71.5552546481,0.968286904232,0.0944466611142,0.00173179917008,0.0012743741208,80.0143170554,4363.71908346,58.8799075033
9,EA-009,PupilCalib,1.91146987018,34.2830917677,0.967517822991,1.4512597237,18.0172811917,1.30286425256,0.0232447439734,0.00129602160873,0.000573999894986,15.2917589614,274.264734142,6.77262476094
10,EA-049,EA-049_allsc,1.52427999183,115.621985576,1.24578567004,1.17642134154,101.774824938,1.04265641599,0.0469969186306,0.00061957474947,0.000488450261451,172.243639077,13065.2843701,135.790638034
