,interview,task,numsaccades,sumsaccadedistance,meansaccadedistance,stddevsaccadedistance,longestsaccadedistance,sumsaccadeduration,meansaccadeduration,stddevsaccadeduration,longestsaccadeduration,meansaccadespeed,stddevsaccadespeed,minsaccadespeed,maxsaccadespeed,fixationsaccadetimeratio
0,EA-007,EA-007_allsc,48,31184.7153923,649.681570673,654.475698728,2422.32086156,91101.0,1897.9375,3246.68668689,21698.0,0.400007376632,0.158658184208,0.0241796558471,0.761292881377,0.17572912711
1,EA-007,Reading,20,13191.5156095,659.575780475,550.523157068,1887.68187422,27597.0,1379.85,1083.14557874,3800.0,0.460163774331,0.108137386121,0.226337410766,0.668250300362,0.210131536037
2,EA-007,Memory,8,8386.9608025,1048.37010031,913.31487362,2422.32086156,21800.0,2725.0,2117.94381417,5901.0,0.372849487259,0.158109855246,0.185520863656,0.597608224143,0.0825229357798
3,EA-007,CookieTheft,10,8316.61402303,831.661402303,666.653469865,1757.06397022,16906.0,1690.6,1344.94569903,3999.0,0.470820509289,0.16378527383,0.201339469249,0.761292881377,0.136046374068
4,EA-007,PupilCalib,10,1289.62495725,128.962495725,155.773717899,524.65017257,24798.0,2479.8,6756.06002539,21698.0,0.230607760077,0.119776803508,0.0241796558471,0.393490854824,0.274215662553
5,EA-009,EA-009_allsc,125,37266.2123863,298.129699091,324.057514773,2507.47686507,116905.0,935.24,2603.29694934,28801.0,0.422368773304,0.208020513815,0.0100663832363,1.36512552926,0.80376108116
6,EA-009,Reading,35,13357.762385,381.650353857,435.202696397,2507.47686507,29110.0,831.714285714,877.25365476,4007.0,0.482881195609,0.223355488879,0.117612509141,1.00710274431,0.322432153899
7,EA-009,Memory,30,11112.2903033,370.409676776,369.191452647,1624.55914247,26398.0,879.933333333,791.931768801,3400.0,0.406859360205,0.128854516046,0.18050792702,0.635582542281,0.371164482158
8,EA-009,CookieTheft,53,11863.2390018,223.834698147,179.492680984,743.05312642,58097.0,1096.16981132,3902.8947725,28801.0,0.411586279214,0.233427559242,0.0100663832363,1.36512552926,0.218720415856
9,EA-009,PupilCalib,7,932.920696304,133.274385186,108.201901036,338.178823497,3300.0,471.428571429,309.377254682,1000.0,0.267914458896,0.0877321867571,0.175154557505,0.413288567657,2.30272727273
10,EA-049,EA-049_allsc,95,106260.697725,1118.53366026,1272.33087849,7465.18815019,170607.0,1795.86315789,2528.00677353,18698.0,0.631684826081,0.263568978549,0.0153272947762,1.77851402074,0.194231154117
11,EA-049,Reading,14,17380.5996401,1241.47140286,1132.31230639,3382.49922654,20299.0,1449.92857143,1302.97000758,3900.0,0.842261724023,0.334915327039,0.202636472722,1.77851402074,0.127986600325
