,interview,mean_Sacc_Ampl,sd_Sacc_Ampl,mean_Sacc_Dist,sd_Sacc_Dist,mean_Regr_Ampl,sd_Regr_Ampl,mean_Regr_Dist,sd_Regr_Dist,max_Regr_Ampl,max_Regr_Dist,count_Fix,count_FirstPass_FirstFix,count_LaterPass_FirstFix,count_MultiFix,count_ReFix,mean_FirstPass_FirstFix_Duration,sd_FirstPass_FirstFix_Duration,mean_Wrapup_Duration,sd_Wrapup_Duration,ratio_Wrapup,mean_Wrapup_Line_Duration,sd_Wrapup_Line_Duration,ratio_Wrapup_Line,task
0,EA-007,77.2574684248076,51.7675361423419,3.9375,5.91572762501227,112.725918804478,75.3993829780968,4.625,6.13974173491268,281.050215908794,15.0,24,4,3,6,11,325.0,386.221007541882,200.0,-1.0,1.02222222222222,-1,-1.0,-1.0,Reading
1,EA-009,106.946962492688,78.361500618927,4.42307692307692,6.33828416480724,240.395911731605,183.300419843182,9.27272727272727,5.93449086427655,505.337653938672,18.0,37,6,7,4,20,266.666666666667,265.832027165025,600.0,-1.0,2.84772577455504,-1,-1.0,-1.0,Reading
2,EA-049,193.420946578797,120.908698798624,8.25,10.8199551094923,267.944354319907,98.4410009066921,7.8,7.98122797569397,355.639649062985,17.0,13,4,3,3,3,99.75,0.5,99.0,-1.0,0.625592417061611,-1,-1.0,-1.0,Reading
3,EA-063,107.345972962814,88.7731992771637,2.04545454545455,4.41293847385458,191.626570759623,148.703590229266,4.3,5.18652099195598,426.275886203065,15.0,32,6,1,9,16,150.0,54.7722557505166,300.0,-1.0,1.57627118644068,-1,-1.0,-1.0,Reading
4,EA-069,72.028921477723,56.7620230582922,1.63636363636364,3.82812557977732,196.802324462995,124.891522785869,1.66666666666667,1.15470053837925,334.13130058907,3.0,14,4,1,1,8,150.0,57.7350269189626,200.0,200.0,1.42857142857143,-1,-1.0,-1.0,Reading
5,EA-073,102.145615683271,70.1857235763111,4.13953488372093,6.02210766516981,208.438342072404,170.343468644696,8.78947368421053,7.56144421367315,503.031602636241,18.0,62,4,7,3,48,150.0,100.0,300.0,-1.0,1.10247605277426,-1,-1.0,-1.0,Reading
6,EA-109,114.549900752858,117.000865684602,5.17307692307692,5.80979954379365,152.543049225471,108.005672916822,8.2258064516129,6.6368148857684,402.523982649926,24.0,83,5,8,3,67,240.0,219.089023002066,336.363636363636,393.122696553448,1.28840675736457,-1,-1.0,-1.0,Reading
7,EA-123,162.260969291971,154.163628401146,6.27272727272727,7.60382678775509,203.544490716034,185.279126029272,10.6666666666667,7.28468713581213,475.54317356454,17.0,17,6,2,2,7,200.166666666667,89.4436507901297,300.0,-1.0,1.37142857142857,-1,-1.0,-1.0,Reading
8,EA-127,104.655558236109,45.4017434788535,2.21875,3.49870367698593,281.80627479396,100.148490906861,8.1,6.43687294680681,398.999886873695,16.0,42,4,4,5,29,175.0,150.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
9,EA-135,265.260191492925,230.273984642591,11.0,12.4556355575642,377.54645214484,228.833669733216,15.0,3.16227766016838,583.325178391606,18.0,12,5,2,3,2,323.2,215.543963033067,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
10,EA-141,113.228068122394,100.814161624919,6.58823529411765,7.78667791430829,372.847386074013,241.14535844595,24.25,9.56991814663706,577.552410019304,33.0,21,4,4,2,11,225.0,125.830573921179,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
11,EA-149,140.858489168438,131.8999296408,4.51851851851852,6.17918572162515,443.995811799793,470.8901538722,13.0,6.69991708074726,1367.08478467367,21.0,44,7,8,7,22,214.285714285714,167.616341969505,260.0,181.659021245849,1.10037981551818,227,148.466446425735,0.939418323945281,Reading
12,EA-152,193.039807846712,194.850788111766,9.05,9.58878182263551,297.335490735947,291.206365267488,17.5555555555556,11.6952031952326,1052.34454742252,42.0,31,6,14,0,11,166.666666666667,100.260992747263,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
13,EA-169,122.630842561896,115.296161403563,3.73684210526316,5.96137666113344,272.399511177326,204.625682588309,9.0,8.5690472882679,577.294419040285,18.0,27,4,3,3,17,150.0,100.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
14,EA-184,146.873384416075,109.081479607792,4.06451612903226,5.79617968361327,220.293423460441,177.336412229252,6.47368421052632,6.36281228050609,510.384814271787,17.0,50,7,4,3,36,271.428571428571,249.761791275112,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
