,interview,mean_Sacc_Ampl,sd_Sacc_Ampl,mean_Sacc_Dist,sd_Sacc_Dist,mean_Regr_Ampl,sd_Regr_Ampl,mean_Regr_Dist,sd_Regr_Dist,max_Regr_Ampl,max_Regr_Dist,count_Fix,count_FirstPass_FirstFix,count_LaterPass_FirstFix,count_MultiFix,count_ReFix,mean_FirstPass_FirstFix_Duration,sd_FirstPass_FirstFix_Duration,mean_Wrapup_Duration,sd_Wrapup_Duration,ratio_Wrapup,mean_Wrapup_Line_Duration,sd_Wrapup_Line_Duration,ratio_Wrapup_Line,task
15,EA-194,111.675248406191,72.5485799338489,4.48148148148148,6.73892464812491,159.63892999416,116.682507238959,8.45454545454546,6.26679561440512,412.05626652377,16.0,38,6,5,4,23,133.5,51.5121344927581,100.0,-1.0,0.528571428571429,-1,-1.0,-1.0,Reading
16,EA-195,76.0060537961764,86.8554237341283,2.54347826086957,5.98778950769028,171.099025970735,116.505093407351,6.3125,5.68880479538541,416.798426048449,15.0,62,5,6,13,38,160.0,134.164078649987,200.0,173.205080756888,0.707094918504314,-1,-1.0,-1.0,Reading
17,EE-057,84.9740428351871,74.3901403260206,1.19047619047619,3.09396024725826,180.398074554749,98.845624268368,2.42857142857143,3.67348683058828,399.440944856132,15.0,56,5,1,16,34,200.0,223.606797749979,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
18,EE-087,47.2036608750522,30.3864624099936,1.77777777777778,4.60374243897771,40.7236227007628,7.05681197154454,1.0,0.0,45.7135422994004,1.0,11,2,1,7,1,450.0,70.7106781186548,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
19,EE-093,150.515942541671,83.0477287162641,3.0,5.15751878329105,241.175950774186,137.636373471252,1.66666666666667,1.15470053837925,396.645548095561,3.0,14,5,0,4,5,140.0,89.4427190999916,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
20,EE-100,103.4963947571,75.0744132085294,3.71428571428571,6.52130911148004,291.060526786969,161.439576926808,9.25,9.53502316025854,449.332604536411,18.0,18,3,2,3,10,200.0,100.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
21,EE-105,150.793331987878,122.380553248487,1.21428571428571,1.1217137594956,349.039535863709,152.765508585181,3.0,1.09544511501033,438.836078597538,4.0,20,4,1,7,8,624.75,503.017146825036,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
22,EE-126,131.804606754864,158.679620008434,5.93333333333333,8.5739514623166,285.914749454611,252.955039759891,12.0,7.33799385705343,726.662097978535,20.0,44,5,9,6,24,160.0,54.7722557505166,300.0,-1.0,1.65384615384615,-1,-1.0,-1.0,Reading
23,EE-146,65.0531005608047,57.0990723013848,1.42307692307692,3.98696972672354,178.978228329904,107.207745159232,4.91666666666667,6.35979321180883,345.992497516563,17.0,64,3,3,17,41,502.666666666667,400.026665777837,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
24,EE-174,99.909716767703,97.8237331693555,2.72727272727273,4.97036673239968,160.050607896535,91.1542577817951,5.75,6.06080302710238,313.818870243049,15.0,49,5,7,4,33,240.0,219.089023002066,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
25,EH-061,181.782238551898,199.318102697394,5.3125,6.94472221666689,301.865455708842,262.873793475479,9.28571428571429,8.36090676330994,726.441611006178,20.0,23,7,2,7,7,171.428571428571,111.269728052837,192.0,-1.0,1.03251038865803,-1,-1.0,-1.0,Reading
26,EH-164,79.9469502939532,61.1716745630195,3.53846153846154,5.932107875465,216.385179901376,178.725221363418,10.3684210526316,7.44021002030177,528.175982534879,18.0,84,8,4,13,59,250.0,272.554057547699,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
27,EH-173,68.0015187665542,39.4004004014697,4.06060606060606,6.40770724371925,121.239336438494,65.5918765095452,9.72727272727273,6.55882472842367,230.614590953458,15.0,44,4,4,17,19,400.0,163.299316185545,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
28,EI-0001,85.6864901611697,91.4837493817446,2.83505154639175,5.79813262390562,207.646781956535,222.108364067684,8.6,8.67656375650462,801.34691942135,33.0,127,9,4,20,94,644.444444444444,1338.946517893,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
29,EI-023,99.9544234930292,62.5769751720627,2.53333333333333,4.71046767817448,268.388056196902,156.075947104061,6.88888888888889,6.93621734889494,500.031827998151,18.0,39,6,2,5,26,186.0,116.06205236855,266.666666666667,152.752523165195,1.13892513939969,-1,-1.0,-1.0,Reading
30,EI-037,117.81330253562,79.1532250685474,4.8695652173913,6.60787648345165,191.360809375259,116.214387094447,9.0,7.12741187248218,385.819571827634,16.0,34,5,3,8,18,140.0,54.7722557505166,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
31,EI-051,102.254339539591,107.279444543471,3.56666666666667,5.88793818683196,262.928588768928,186.744101710355,10.4,7.16782936304833,555.929326438729,19.0,40,5,6,3,26,120.0,44.7213595499958,200.0,0.0,1.10001447387466,-1,-1.0,-1.0,Reading
32,EI-096,149.894714576125,81.3825463831132,9.91666666666667,6.69407245707768,255.343679508117,198.631200468937,15.0,2.75680975041804,501.607548436964,18.0,18,5,6,1,6,160.0,89.4427190999916,99.75,0.5,0.536908881199539,-1,-1.0,-1.0,Reading
33,EI-112,136.035731928702,112.901533693316,7.05555555555556,9.26392257296597,218.035605148556,131.934527412805,9.8,7.33030240394851,403.029369831362,17.0,28,3,6,2,17,130.666666666667,60.1775151807827,100.0,-1.0,0.5859375,-1,-1.0,-1.0,Reading
34,EI-137,123.606846653552,118.33481036548,5.3448275862069,6.62396009126266,230.98958838227,173.978427180699,9.53846153846154,7.73105625184753,507.456235062245,18.0,42,5,7,4,26,140.0,89.4427190999916,100.0,-1.0,0.487979052606522,100,-1.0,0.487979052606522,Reading
35,EI-170,176.431690177873,138.447711240457,6.80645161290323,6.85769327028027,357.531581196133,212.047245821175,12.0,7.88307409218365,666.923391844208,33.0,46,6,10,2,28,283.166666666667,116.876715673682,100.0,-1.0,0.450135040512154,-1,-1.0,-1.0,Reading
36,EI-191,100.780269738541,57.0252834392629,2.36,4.68045581825816,203.301213373262,117.337571614634,4.66666666666667,6.44204936336256,365.66697709263,16.0,34,7,0,6,21,171.571428571429,95.3447379125825,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
37,EL-003,76.4848500094501,63.4104230213487,5.08333333333333,6.50027870082551,219.726419677214,253.906153065327,10.7777777777778,4.46592033565809,660.76427956832,15.0,33,10,6,3,14,279.9,193.264614223895,104.0,5.65685424949238,0.398073836276084,-1,-1.0,-1.0,Reading
38,EL-122,188.665009333356,183.348359385101,3.44444444444444,4.98494465391687,222.908865319503,112.224745904305,9.4,5.12835256198323,371.800454634443,15.0,23,6,3,2,12,200.0,154.919333848297,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
39,EL-156,130.918476763313,142.89057632519,3.0,4.54606056566195,243.646034499245,183.68952941043,6.30769230769231,5.32892445972317,603.156837371388,17.0,44,4,8,3,29,150.0,57.7350269189626,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
40,EL-185,117.645176605506,101.991709777629,3.55882352941176,5.46720900748735,147.754001925667,119.493830995762,7.18181818181818,6.04678727620183,335.290050461499,14.0,45,9,5,10,21,188.888888888889,136.422546197874,200.0,141.42135623731,0.836734693877551,-1,-1.0,-1.0,Reading
41,EO-005,179.332601289796,154.536997966867,5.94117647058824,7.13679364486684,224.007516373219,159.293153223299,9.55555555555556,5.83333333333333,488.574340556253,15.0,26,10,4,3,9,160.0,96.6827572815109,99.6666666666667,0.577350269189626,0.47677481974487,-1,-1.0,-1.0,Reading
42,EO-008,76.8927944093623,48.7507436097809,3.52941176470588,5.46023054889249,192.969252968896,152.13513042125,7.94736842105263,6.3023248286338,468.539912054222,18.0,70,6,10,8,46,266.5,233.780880313168,207.615384615385,111.447699588595,0.721722078616632,-1,-1.0,-1.0,Reading
43,EO-021,147.439703957294,84.9131819616907,5.66666666666667,6.02016812409955,175.750270475105,171.174863781084,8.5,5.20576603392815,430.985264010295,13.0,18,4,4,0,10,250.0,238.047614284762,100.0,-1.0,0.303625647437042,-1,-1.0,-1.0,Reading
44,EO-026,542.719987422346,104.514488136374,24.0,9.89949493661167,408.690441628345,-1.0,16.0,-1.0,408.690441628345,16.0,3,2,1,0,0,100.0,0.0,100.0,-1.0,0.666666666666667,-1,-1.0,-1.0,Reading
45,EO-054,100.299241224939,75.1186640671915,4.88461538461539,6.671293266388,245.553494223463,141.899040928147,11.3,6.75030863491935,445.21107833735,17.0,36,4,5,1,26,175.0,95.7427107756338,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
46,EO-083,223.846890913471,146.19512189088,4.7,6.07453701939498,312.597826684723,164.250771336867,5.0,5.51361950083609,531.686534445371,16.0,16,4,2,2,8,100.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
47,EO-091,81.367396139558,51.9760358102505,1.21052631578947,4.09035379301678,91.8529605707203,51.6873849593994,1.2,0.447213595499958,160.215327934751,2.0,24,2,2,0,20,150.0,70.7106781186548,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
48,EO-094,121.73446530639,85.1433035629594,7.72727272727273,10.488955230059,178.175949883022,172.803480372676,11.6,9.81325634027768,448.452220056274,26.0,16,4,6,0,6,175.0,150.0,400.0,-1.0,2.14362272240086,-1,-1.0,-1.0,Reading
49,EO-143,42.2194271222309,12.2940720018906,0.142857142857143,0.377964473009227,-1.0,-1.0,-1.0,-1.0,-inf,-inf,7,1,0,6,0,200.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
50,EO-166,112.219733616542,105.410376965361,3.80769230769231,6.13852901447394,233.662892261053,140.079254648166,8.72727272727273,6.60440624266722,514.374255879051,17.0,37,5,5,1,26,160.0,134.164078649987,100.0,-1.0,0.433787203277503,-1,-1.0,-1.0,Reading
51,EO-182,151.824346377426,151.879180582302,5.60714285714286,7.38536734317602,340.879812110651,256.312817764277,13.0833333333333,6.4731379679036,687.024596969007,20.0,40,8,3,4,25,325.0,198.206241793023,500.0,-1.0,2.05306380290587,500,-1.0,2.05306380290587,Reading
52,EO-186,154.038899190524,172.334147192036,4.01851851851852,5.93833322889398,235.183556300139,179.787247692278,7.13333333333333,6.44731076433842,659.232994323813,23.0,84,5,14,0,65,199.4,173.061549744592,250.0,129.099444873581,1.42015195625932,-1,-1.0,-1.0,Reading
53,ER-017,246.422164789775,176.225791802581,6.0,7.93725393319377,-1.0,-1.0,-1.0,-1.0,-inf,-inf,3,3,0,0,0,1700.33333333333,2516.52544857654,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
54,ER-040,114.250048896069,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-inf,-inf,1,1,0,0,0,200.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
55,ER-059,105.057570597475,125.581699519626,5.67857142857143,7.26765320229186,114.880640648494,75.0519313027047,8.53333333333333,5.57887170705776,337.794060077663,13.0,43,6,8,1,28,136.0,49.703118614429,200.0,-1.0,0.806606491261763,-1,-1.0,-1.0,Reading
56,ER-129,180.971116983735,151.452897480638,9.0,6.08276253029822,178.507890370835,110.520085703373,3.5,4.35889894354067,336.713114850334,10.0,7,3,3,0,1,166.666666666667,115.470053837925,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
57,ER-167,85.2161723220167,67.8077966354413,4.07352941176471,6.0453909333008,179.290271677032,150.460346425458,9.32142857142857,6.04950914096019,491.168447804643,17.0,96,5,9,8,74,301.6,100.063979533097,100.0,-1.0,0.486008083081803,-1,-1.0,-1.0,Reading
58,ET-090,159.300299364681,110.514734248831,4.16216216216216,5.65937527723056,282.111981793866,195.379019628897,9.15384615384615,6.05318309990914,579.378637451661,18.0,52,5,9,2,36,360.0,296.647939483827,400.0,-1.0,1.71327790375409,-1,-1.0,-1.0,Reading
59,EU-015,175.964750763425,129.944321318116,8.4,7.89303490426845,245.882971625286,106.010145008131,6.0,5.29150262212918,329.18127444415,12.0,8,4,1,2,1,125.0,50.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
60,EU-024,144.671459760155,72.2824709132133,5.35714285714286,5.87834543514968,184.022503134081,143.624439443054,7.5,5.95219047314276,395.787999882665,14.0,22,4,4,3,11,149.5,57.7379135981434,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
61,EU-161,78.3482557813269,41.081906180932,2.54545454545455,4.60360530651595,283.914451633498,158.145393603534,6.875,5.9386746958271,510.304377556494,17.0,41,6,4,6,25,216.666666666667,194.079021706795,333.333333333333,230.94010767585,1.50829562594268,-1,-1.0,-1.0,Reading
62,EY-035,222.299591009457,163.782465712137,5.61538461538461,6.33164619903415,383.88814530622,335.271894912803,10.2857142857143,6.84870512613603,900.079674161514,21.0,20,4,9,0,7,175.0,50.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
63,EY-043,119.807243586399,107.199375810799,3.77272727272727,5.82242511754951,276.42407067748,208.400410871761,7.72222222222222,5.13128301299754,632.940550439063,17.0,62,8,10,1,43,186.375,63.6731329301681,175.0,95.7427107756338,0.806323482681919,-1,-1.0,-1.0,Reading
64,EY-088,79.2141766159937,50.4825824457471,1.31428571428571,3.34111137349296,168.484765683779,81.7389783093505,3.90909090909091,5.75246982529323,263.970006433546,16.0,46,5,0,2,39,161.6,52.6573831480449,200.0,-1.0,0.777000777000777,-1,-1.0,-1.0,Reading
65,HA-0002,144.431802008609,121.819645405541,3.57575757575758,5.49448759570844,324.236933365307,179.993568133245,7.16666666666667,6.49241982249416,563.920543414724,19.0,45,4,9,0,32,175.0,95.7427107756338,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
66,HA-006,103.010390930382,106.943503627983,6.2,8.07465169527454,91.5820213349004,54.8226686041953,14.5,0.707106781186548,130.34750206767,15.0,7,2,2,2,1,100.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
67,HA-016,106.020515108017,87.7913014896274,3.7962962962963,5.67476914875699,328.074519754603,259.697015216751,8.59090909090909,5.26135136460379,757.064775442954,19.0,76,8,9,4,55,163.5,106.506874358955,100.0,0.0,0.637656182679879,-1,-1.0,-1.0,Reading
68,HA-018,95.7823840228765,66.1731975869122,3.18181818181818,5.37618908623098,409.571308670898,229.817447540901,14.8333333333333,6.94022093788567,652.951001103808,19.0,39,6,3,7,23,416.5,381.304996033359,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
69,HA-019,108.716284708204,79.2730821489451,3.41379310344828,4.94626295716062,119.023717803464,63.3618668163882,4.66666666666667,5.28037431828241,249.948004595886,15.0,47,5,3,8,31,140.0,54.7722557505166,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
70,HA-025,132.72747834565,77.3624682242683,2.92857142857143,4.7630676235818,206.230125405527,183.09713803844,4.0,5.13809303146605,573.306720216229,14.0,20,5,3,2,10,179.8,83.3078627741704,250.0,191.485421551268,1.60064025610244,-1,-1.0,-1.0,Reading
71,HA-027,103.350456271908,90.0530137240869,3.8780487804878,5.4598311418542,185.789234126359,174.198870860251,8.35294117647059,5.76564368122272,494.930251191058,18.0,58,6,6,6,40,166.666666666667,81.6496580927726,116.666666666667,40.8248290463863,0.652329749103943,-1,-1.0,-1.0,Reading
72,HA-039,124.259104612488,76.6057829532497,3.78787878787879,5.27824293537617,172.764766103347,126.575739357508,7.23076923076923,6.24705058612791,523.960023289658,16.0,46,6,4,3,33,234.666666666667,104.358356956531,96.0,5.65685424949238,0.420382165605096,-1,-1.0,-1.0,Reading
73,HA-044,169.757010039263,84.1339301610681,5.33333333333333,5.92887132188878,302.90333919382,181.337690227747,11.75,7.58836829188814,481.350594685596,18.0,16,4,3,1,8,150.0,57.7350269189626,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
74,HA-058,200.973912092517,159.680161002969,6.25,7.06029929159923,493.101555190621,222.614727990998,11.8888888888889,7.81735959970572,725.346507025051,20.0,33,6,10,1,16,250.0,176.06816861659,100.0,0.0,0.525423728813559,-1,-1.0,-1.0,Reading
75,HA-065,111.655026576102,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-inf,-inf,1,1,0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
76,HA-066,52.5594235678942,32.1365298331772,3.05,5.64264775475224,65.717246681102,51.5780201176503,7.5,7.14842640026461,160.982793004415,15.0,26,4,1,11,10,200.0,115.470053837925,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
77,HA-068,266.194866203138,216.649842464528,6.21428571428571,7.33986555555525,485.225170072212,205.817899425999,10.1428571428571,6.61887632529297,630.902941653605,19.0,21,4,9,1,7,99.75,0.5,100.0,-1.0,0.512952038984355,100,-1.0,0.512952038984355,Reading
78,HA-077,138.7652860129,96.792344203511,3.23076923076923,4.93548116792825,143.115033787494,119.933143380563,9.0,6.08276253029822,280.850879012251,13.0,16,5,1,1,9,140.0,54.7722557505166,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
79,HA-082,134.283568318933,72.7078906669545,3.90909090909091,5.31891991770031,229.112419867372,121.015798379476,5.4,6.58027355054484,394.805429783593,17.0,16,4,2,0,10,275.0,221.735578260835,100.0,-1.0,0.325520833333333,-1,-1.0,-1.0,Reading
80,HA-086,328.207952130418,184.193972830081,6.27272727272727,5.02177078510975,287.164754069717,193.213305649431,8.8,8.31865373723417,519.821327856465,22.0,16,6,4,2,4,216.666666666667,160.208197875972,200.0,141.42135623731,1.27272727272727,-1,-1.0,-1.0,Reading
81,HA-089,182.428886364715,142.70416564128,6.43478260869565,7.26652403433044,283.059866316089,202.568090254846,9.35714285714286,7.26008203870943,572.343932810071,18.0,37,4,8,5,20,275.0,150.142154862206,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
82,HA-092,84.6841828893483,58.4874688323679,3.04545454545455,5.45149668143101,244.672802406419,159.227410325236,9.83333333333333,6.57589721957576,496.58641811456,18.0,56,7,4,2,43,156.0,112.924753707945,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
83,HA-103,169.321922681988,138.927317923495,3.54545454545455,6.45544167913608,244.045575840463,185.919222875879,5.71428571428571,7.45462464322843,535.816658321218,18.0,20,4,4,0,12,127.0,48.8125666879613,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
84,HA-113,132.51137530037,118.379330722418,2.45454545454545,4.18304141717907,284.462595498087,125.501088271402,3.71428571428571,3.45032779671177,447.182439215068,11.0,29,4,5,1,19,121.0,47.4833304083303,175.0,88.6405260427918,1.11906211936663,-1,-1.0,-1.0,Reading
85,HA-128,80.6317683787664,42.3965130702178,4.07142857142857,5.80503339339342,205.669149429508,118.555565927599,8.53846153846154,5.81112990469416,451.587358536138,18.0,41,6,3,2,30,200.0,109.544511501033,160.0,54.7722557505166,0.685143332936838,-1,-1.0,-1.0,Reading
86,HA-142,46.7349929570627,27.0425318148352,1.57575757575758,3.88710137629019,108.420620196276,78.1386132931288,4.23809523809524,5.52181819607239,279.845219590074,15.0,87,4,2,23,58,277.0,234.341630957882,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
87,HA-154,203.72120587542,167.775473086331,8.375,8.03452372132732,222.921657538318,158.860136277592,8.5,7.32575365861197,363.883022843175,17.0,14,3,6,2,3,164.0,117.84735890125,100.0,0.0,0.790229885057471,-1,-1.0,-1.0,Reading
88,HA-163,100.796209942432,71.7269483992085,4.56818181818182,6.16968480319899,214.537681701306,192.059762774917,7.52173913043478,5.14224539934021,616.601017222528,15.0,67,7,9,1,50,169.142857142857,93.0867490953619,180.0,109.544511501033,0.931941544885177,-1,-1.0,-1.0,Reading
89,HA-177,83.9105040992984,49.819413330703,5.3030303030303,6.34175078588737,145.049897898,102.24739030267,7.35,6.16676149761129,405.413235161802,17.0,53,7,5,10,31,286.857142857143,218.805414749749,233.333333333333,175.119007154183,0.898391633215914,-1,-1.0,-1.0,Reading
90,HA-181,131.12079311028,112.466259347633,6.93333333333333,8.51441354969549,184.049903307163,108.421249616968,6.76923076923077,5.18256445777323,360.094508979714,14.0,28,4,6,0,18,300.0,270.801280154532,100.0,-1.0,0.341772151898734,-1,-1.0,-1.0,Reading
91,HA-192,75.6099621334022,48.3463443817439,2.45945945945946,4.53355583079515,284.339078975262,144.144855753692,11.8571428571429,5.97246428790744,437.58518002183,17.0,88,7,1,24,56,242.857142857143,190.237946242268,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
92,HA-196,107.973590942129,100.812948286947,3.20689655172414,4.77627552406406,175.035567850784,91.1087628755357,6.41666666666667,6.00694043031337,302.137855332213,16.0,41,6,4,10,21,333.333333333333,294.392028877595,100.0,-1.0,0.511770726714432,-1,-1.0,-1.0,Reading
93,HC-116,102.70757697838,73.9332665961519,5.67857142857143,7.87896200828779,185.654808911591,112.806246187782,9.28571428571429,7.04303880469188,332.874351869925,16.0,42,5,3,1,33,180.0,130.384048104053,157.142857142857,97.5900072948533,0.945829750644884,-1,-1.0,-1.0,Reading
94,HE-012,171.26074968965,130.273752050948,8.75,7.69619915812224,125.872405746047,115.07592636846,9.09090909090909,5.68129001874189,411.084666843976,15.0,50,11,11,1,27,218.090909090909,140.143108674993,400.0,-1.0,1.8672001524245,-1,-1.0,-1.0,Reading
95,HE-022,211.165544805353,146.435731889318,1.6,1.34164078649987,232.461372082233,75.1909612963013,2.0,1.0,311.344013036654,3.0,8,3,2,2,1,99.6666666666667,0.577350269189626,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
96,HE-030,135.117196037896,130.760271648867,8.54545454545454,10.0534932870484,119.079666948695,105.561161071602,10.1666666666667,7.13909424693824,282.290930082255,16.0,17,2,4,0,11,100.0,0.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
97,HE-078,148.941195900677,102.679028972272,3.33333333333333,4.62728480924638,245.584461235163,182.321089333291,8.0,5.22812904711937,436.328711480619,13.0,22,6,3,1,12,184.666666666667,100.253013254798,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
98,HE-099,94.0800017313077,67.5187306307032,3.57142857142857,5.51879904119935,199.332345814399,140.566529625462,5.54545454545455,4.76158873410202,419.327271144462,14.0,32,7,2,4,19,185.714285714286,89.9735410842437,200.0,141.42135623731,1.2,-1,-1.0,-1.0,Reading
99,HE-119,104.709623485985,74.3065390227361,3.32727272727273,5.30218175029217,424.111561245007,207.065921384171,12.8333333333333,6.97832140969228,698.341313656149,20.0,67,5,8,1,53,180.0,130.384048104053,233.333333333333,115.470053837925,1.13114174620007,-1,-1.0,-1.0,Reading
100,HE-130,67.7650753396025,44.8787218641955,3.24489795918367,5.48304436515008,128.357384810268,87.5785713000823,7.13636363636364,6.7492183289584,333.010498043867,16.0,71,7,1,7,56,329.714285714286,291.742874397824,-1.0,-1.0,-1.0,-1,-1.0,-1.0,Reading
101,HE-150,95.0981174612243,58.771780560516,6.8,7.98014778188284,130.670866962869,87.6916991173803,10.8,6.10854202852741,285.853697341552,17.0,45,7,7,4,27,142.714285714286,53.5870453428012,100.0,-1.0,0.565407350295554,-1,-1.0,-1.0,Reading
