,interview,task,boy_fixationrate,boy_longestfixation,boy_meanfixationduration,boy_numfixations,boy_numtransfrom_boy,boy_numtransfrom_cookie,boy_numtransfrom_curtain,boy_numtransfrom_dishcloth,boy_numtransfrom_dishes,boy_numtransfrom_girl,boy_numtransfrom_jar,boy_numtransfrom_plate,boy_numtransfrom_sink,boy_numtransfrom_stool,boy_numtransfrom_water,boy_numtransfrom_window,boy_numtransfrom_woman,boy_proportionnum,boy_proportiontime,boy_proptransfrom_boy,boy_proptransfrom_cookie,boy_proptransfrom_curtain,boy_proptransfrom_dishcloth,boy_proptransfrom_dishes,boy_proptransfrom_girl,boy_proptransfrom_jar,boy_proptransfrom_plate,boy_proptransfrom_sink,boy_proptransfrom_stool,boy_proptransfrom_water,boy_proptransfrom_window,boy_proptransfrom_woman,boy_stddevfixationduration,boy_timetofirstfixation,boy_timetolastfixation,boy_totaltimespent,woman_fixationrate,woman_longestfixation,woman_meanfixationduration,woman_numfixations,woman_numtransfrom_boy,woman_numtransfrom_cookie,woman_numtransfrom_curtain,woman_numtransfrom_dishcloth,woman_numtransfrom_dishes,woman_numtransfrom_girl,woman_numtransfrom_jar,woman_numtransfrom_plate,woman_numtransfrom_sink,woman_numtransfrom_stool,woman_numtransfrom_water,woman_numtransfrom_window,woman_numtransfrom_woman,woman_proportionnum,woman_proportiontime,woman_proptransfrom_boy,woman_proptransfrom_cookie,woman_proptransfrom_curtain,woman_proptransfrom_dishcloth,woman_proptransfrom_dishes,woman_proptransfrom_girl,woman_proptransfrom_jar,woman_proptransfrom_plate,woman_proptransfrom_sink,woman_proptransfrom_stool,woman_proptransfrom_water,woman_proptransfrom_window,woman_proptransfrom_woman,woman_stddevfixationduration,woman_timetofirstfixation,woman_timetolastfixation,woman_totaltimespent,dishes_fixationrate,dishes_longestfixation,dishes_meanfixationduration,dishes_numfixations,dishes_numtransfrom_boy,dishes_numtransfrom_cookie,dishes_numtransfrom_curtain,dishes_numtransfrom_dishcloth,dishes_numtransfrom_dishes,dishes_numtransfrom_girl,dishes_numtransfrom_jar,dishes_numtransfrom_plate,dishes_numtransfrom_sink,dishes_numtransfrom_stool,dishes_numtransfrom_water,dishes_numtransfrom_window,dishes_numtransfrom_woman,dishes_proportionnum,dishes_proportiontime,dishes_proptransfrom_boy,dishes_proptransfrom_cookie,dishes_proptransfrom_curtain,dishes_proptransfrom_dishcloth,dishes_proptransfrom_dishes,dishes_proptransfrom_girl,dishes_proptransfrom_jar,dishes_proptransfrom_plate,dishes_proptransfrom_sink,dishes_proptransfrom_stool,dishes_proptransfrom_water,dishes_proptransfrom_window,dishes_proptransfrom_woman,dishes_stddevfixationduration,dishes_timetofirstfixation,dishes_timetolastfixation,dishes_totaltimespent,plate_fixationrate,plate_longestfixation,plate_meanfixationduration,plate_numfixations,plate_numtransfrom_boy,plate_numtransfrom_cookie,plate_numtransfrom_curtain,plate_numtransfrom_dishcloth,plate_numtransfrom_dishes,plate_numtransfrom_girl,plate_numtransfrom_jar,plate_numtransfrom_plate,plate_numtransfrom_sink,plate_numtransfrom_stool,plate_numtransfrom_water,plate_numtransfrom_window,plate_numtransfrom_woman,plate_proportionnum,plate_proportiontime,plate_proptransfrom_boy,plate_proptransfrom_cookie,plate_proptransfrom_curtain,plate_proptransfrom_dishcloth,plate_proptransfrom_dishes,plate_proptransfrom_girl,plate_proptransfrom_jar,plate_proptransfrom_plate,plate_proptransfrom_sink,plate_proptransfrom_stool,plate_proptransfrom_water,plate_proptransfrom_window,plate_proptransfrom_woman,plate_stddevfixationduration,plate_timetofirstfixation,plate_timetolastfixation,plate_totaltimespent,jar_fixationrate,jar_longestfixation,jar_meanfixationduration,jar_numfixations,jar_numtransfrom_boy,jar_numtransfrom_cookie,jar_numtransfrom_curtain,jar_numtransfrom_dishcloth,jar_numtransfrom_dishes,jar_numtransfrom_girl,jar_numtransfrom_jar,jar_numtransfrom_plate,jar_numtransfrom_sink,jar_numtransfrom_stool,jar_numtransfrom_water,jar_numtransfrom_window,jar_numtransfrom_woman,jar_proportionnum,jar_proportiontime,jar_proptransfrom_boy,jar_proptransfrom_cookie,jar_proptransfrom_curtain,jar_proptransfrom_dishcloth,jar_proptransfrom_dishes,jar_proptransfrom_girl,jar_proptransfrom_jar,jar_proptransfrom_plate,jar_proptransfrom_sink,jar_proptransfrom_stool,jar_proptransfrom_water,jar_proptransfrom_window,jar_proptransfrom_woman,jar_stddevfixationduration,jar_timetofirstfixation,jar_timetolastfixation,jar_totaltimespent,water_fixationrate,water_longestfixation,water_meanfixationduration,water_numfixations,water_numtransfrom_boy,water_numtransfrom_cookie,water_numtransfrom_curtain,water_numtransfrom_dishcloth,water_numtransfrom_dishes,water_numtransfrom_girl,water_numtransfrom_jar,water_numtransfrom_plate,water_numtransfrom_sink,water_numtransfrom_stool,water_numtransfrom_water,water_numtransfrom_window,water_numtransfrom_woman,water_proportionnum,water_proportiontime,water_proptransfrom_boy,water_proptransfrom_cookie,water_proptransfrom_curtain,water_proptransfrom_dishcloth,water_proptransfrom_dishes,water_proptransfrom_girl,water_proptransfrom_jar,water_proptransfrom_plate,water_proptransfrom_sink,water_proptransfrom_stool,water_proptransfrom_water,water_proptransfrom_window,water_proptransfrom_woman,water_stddevfixationduration,water_timetofirstfixation,water_timetolastfixation,water_totaltimespent,window_fixationrate,window_longestfixation,window_meanfixationduration,window_numfixations,window_numtransfrom_boy,window_numtransfrom_cookie,window_numtransfrom_curtain,window_numtransfrom_dishcloth,window_numtransfrom_dishes,window_numtransfrom_girl,window_numtransfrom_jar,window_numtransfrom_plate,window_numtransfrom_sink,window_numtransfrom_stool,window_numtransfrom_water,window_numtransfrom_window,window_numtransfrom_woman,window_proportionnum,window_proportiontime,window_proptransfrom_boy,window_proptransfrom_cookie,window_proptransfrom_curtain,window_proptransfrom_dishcloth,window_proptransfrom_dishes,window_proptransfrom_girl,window_proptransfrom_jar,window_proptransfrom_plate,window_proptransfrom_sink,window_proptransfrom_stool,window_proptransfrom_water,window_proptransfrom_window,window_proptransfrom_woman,window_stddevfixationduration,window_timetofirstfixation,window_timetolastfixation,window_totaltimespent,stool_fixationrate,stool_longestfixation,stool_meanfixationduration,stool_numfixations,stool_numtransfrom_boy,stool_numtransfrom_cookie,stool_numtransfrom_curtain,stool_numtransfrom_dishcloth,stool_numtransfrom_dishes,stool_numtransfrom_girl,stool_numtransfrom_jar,stool_numtransfrom_plate,stool_numtransfrom_sink,stool_numtransfrom_stool,stool_numtransfrom_water,stool_numtransfrom_window,stool_numtransfrom_woman,stool_proportionnum,stool_proportiontime,stool_proptransfrom_boy,stool_proptransfrom_cookie,stool_proptransfrom_curtain,stool_proptransfrom_dishcloth,stool_proptransfrom_dishes,stool_proptransfrom_girl,stool_proptransfrom_jar,stool_proptransfrom_plate,stool_proptransfrom_sink,stool_proptransfrom_stool,stool_proptransfrom_water,stool_proptransfrom_window,stool_proptransfrom_woman,stool_stddevfixationduration,stool_timetofirstfixation,stool_timetolastfixation,stool_totaltimespent,cookie_fixationrate,cookie_longestfixation,cookie_meanfixationduration,cookie_numfixations,cookie_numtransfrom_boy,cookie_numtransfrom_cookie,cookie_numtransfrom_curtain,cookie_numtransfrom_dishcloth,cookie_numtransfrom_dishes,cookie_numtransfrom_girl,cookie_numtransfrom_jar,cookie_numtransfrom_plate,cookie_numtransfrom_sink,cookie_numtransfrom_stool,cookie_numtransfrom_water,cookie_numtransfrom_window,cookie_numtransfrom_woman,cookie_proportionnum,cookie_proportiontime,cookie_proptransfrom_boy,cookie_proptransfrom_cookie,cookie_proptransfrom_curtain,cookie_proptransfrom_dishcloth,cookie_proptransfrom_dishes,cookie_proptransfrom_girl,cookie_proptransfrom_jar,cookie_proptransfrom_plate,cookie_proptransfrom_sink,cookie_proptransfrom_stool,cookie_proptransfrom_water,cookie_proptransfrom_window,cookie_proptransfrom_woman,cookie_stddevfixationduration,cookie_timetofirstfixation,cookie_timetolastfixation,cookie_totaltimespent,sink_fixationrate,sink_longestfixation,sink_meanfixationduration,sink_numfixations,sink_numtransfrom_boy,sink_numtransfrom_cookie,sink_numtransfrom_curtain,sink_numtransfrom_dishcloth,sink_numtransfrom_dishes,sink_numtransfrom_girl,sink_numtransfrom_jar,sink_numtransfrom_plate,sink_numtransfrom_sink,sink_numtransfrom_stool,sink_numtransfrom_water,sink_numtransfrom_window,sink_numtransfrom_woman,sink_proportionnum,sink_proportiontime,sink_proptransfrom_boy,sink_proptransfrom_cookie,sink_proptransfrom_curtain,sink_proptransfrom_dishcloth,sink_proptransfrom_dishes,sink_proptransfrom_girl,sink_proptransfrom_jar,sink_proptransfrom_plate,sink_proptransfrom_sink,sink_proptransfrom_stool,sink_proptransfrom_water,sink_proptransfrom_window,sink_proptransfrom_woman,sink_stddevfixationduration,sink_timetofirstfixation,sink_timetolastfixation,sink_totaltimespent,dishcloth_fixationrate,dishcloth_longestfixation,dishcloth_meanfixationduration,dishcloth_numfixations,dishcloth_numtransfrom_boy,dishcloth_numtransfrom_cookie,dishcloth_numtransfrom_curtain,dishcloth_numtransfrom_dishcloth,dishcloth_numtransfrom_dishes,dishcloth_numtransfrom_girl,dishcloth_numtransfrom_jar,dishcloth_numtransfrom_plate,dishcloth_numtransfrom_sink,dishcloth_numtransfrom_stool,dishcloth_numtransfrom_water,dishcloth_numtransfrom_window,dishcloth_numtransfrom_woman,dishcloth_proportionnum,dishcloth_proportiontime,dishcloth_proptransfrom_boy,dishcloth_proptransfrom_cookie,dishcloth_proptransfrom_curtain,dishcloth_proptransfrom_dishcloth,dishcloth_proptransfrom_dishes,dishcloth_proptransfrom_girl,dishcloth_proptransfrom_jar,dishcloth_proptransfrom_plate,dishcloth_proptransfrom_sink,dishcloth_proptransfrom_stool,dishcloth_proptransfrom_water,dishcloth_proptransfrom_window,dishcloth_proptransfrom_woman,dishcloth_stddevfixationduration,dishcloth_timetofirstfixation,dishcloth_timetolastfixation,dishcloth_totaltimespent,girl_fixationrate,girl_longestfixation,girl_meanfixationduration,girl_numfixations,girl_numtransfrom_boy,girl_numtransfrom_cookie,girl_numtransfrom_curtain,girl_numtransfrom_dishcloth,girl_numtransfrom_dishes,girl_numtransfrom_girl,girl_numtransfrom_jar,girl_numtransfrom_plate,girl_numtransfrom_sink,girl_numtransfrom_stool,girl_numtransfrom_water,girl_numtransfrom_window,girl_numtransfrom_woman,girl_proportionnum,girl_proportiontime,girl_proptransfrom_boy,girl_proptransfrom_cookie,girl_proptransfrom_curtain,girl_proptransfrom_dishcloth,girl_proptransfrom_dishes,girl_proptransfrom_girl,girl_proptransfrom_jar,girl_proptransfrom_plate,girl_proptransfrom_sink,girl_proptransfrom_stool,girl_proptransfrom_water,girl_proptransfrom_window,girl_proptransfrom_woman,girl_stddevfixationduration,girl_timetofirstfixation,girl_timetolastfixation,girl_totaltimespent,curtain_fixationrate,curtain_longestfixation,curtain_meanfixationduration,curtain_numfixations,curtain_numtransfrom_boy,curtain_numtransfrom_cookie,curtain_numtransfrom_curtain,curtain_numtransfrom_dishcloth,curtain_numtransfrom_dishes,curtain_numtransfrom_girl,curtain_numtransfrom_jar,curtain_numtransfrom_plate,curtain_numtransfrom_sink,curtain_numtransfrom_stool,curtain_numtransfrom_water,curtain_numtransfrom_window,curtain_numtransfrom_woman,curtain_proportionnum,curtain_proportiontime,curtain_proptransfrom_boy,curtain_proptransfrom_cookie,curtain_proptransfrom_curtain,curtain_proptransfrom_dishcloth,curtain_proptransfrom_dishes,curtain_proptransfrom_girl,curtain_proptransfrom_jar,curtain_proptransfrom_plate,curtain_proptransfrom_sink,curtain_proptransfrom_stool,curtain_proptransfrom_water,curtain_proptransfrom_window,curtain_proptransfrom_woman,curtain_stddevfixationduration,curtain_timetofirstfixation,curtain_timetolastfixation,curtain_totaltimespent
0,EO-091,EO-091_allsc,0.00123727039117,5300,808.0,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0.142857142857,0.0438718459412,0.130434782609,0.0217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435.96613818,-1,106098,10507,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.01,100,100.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.021978021978,0.000835097476753,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,101099,200,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0
1,EO-091,Reading,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0
2,EO-091,Memory,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0
3,EO-091,CookieTheft,0.00123727039117,5300,808.230769231,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0.317073170732,0.131666666667,0.130434782609,0.0217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435.96611809,3608,78700,10507,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.01,100,100.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0487804878049,0.00250626566416,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22503,73701,200,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0
4,EO-091,PupilCalib,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0.0,-1,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0
