,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
154,HE-130,PupilCalib,-1,-1,-1,-1,-1,-1
155,EA-123,EA-123_allsc,-1,-1,-1,-1,-1,-1
156,EA-123,Reading,-1,-1,-1,-1,-1,-1
157,EA-123,Memory,-1,-1,-1,-1,-1,-1
158,EA-123,CookieTheft,-1,-1,-1,-1,-1,-1
159,EA-123,PupilCalib,-1,-1,-1,-1,-1,-1
160,EU-024,EU-024_allsc,-1,-1,-1,-1,-1,-1
161,EU-024,Reading,-1,-1,-1,-1,-1,-1
162,EU-024,Memory,-1,-1,-1,-1,-1,-1
163,EU-024,CookieTheft,-1,-1,-1,-1,-1,-1
164,EU-024,PupilCalib,-1,-1,-1,-1,-1,-1
165,HA-089,HA-089_allsc,-1,-1,-1,-1,-1,-1
166,HA-089,Reading,-1,-1,-1,-1,-1,-1
167,HA-089,Memory,-1,-1,-1,-1,-1,-1
168,HA-089,CookieTheft,-1,-1,-1,-1,-1,-1
169,HA-089,PupilCalib,-1,-1,-1,-1,-1,-1
170,EO-143,EO-143_allsc,-1,-1,-1,-1,-1,-1
171,EO-143,Reading,-1,-1,-1,-1,-1,-1
172,EO-143,Memory,-1,-1,-1,-1,-1,-1
173,EO-143,CookieTheft,-1,-1,-1,-1,-1,-1
174,EO-143,PupilCalib,-1,-1,-1,-1,-1,-1
175,HO-106,HO-106_allsc,-1,-1,-1,-1,-1,-1
176,HO-106,Reading,-1,-1,-1,-1,-1,-1
177,HO-106,Memory,-1,-1,-1,-1,-1,-1
178,HO-106,CookieTheft,-1,-1,-1,-1,-1,-1
179,HO-106,PupilCalib,-1,-1,-1,-1,-1,-1
180,EA-109,EA-109_allsc,-1,-1,-1,-1,-1,-1
181,EA-109,Reading,-1,-1,-1,-1,-1,-1
182,EA-109,Memory,-1,-1,-1,-1,-1,-1
183,EA-109,CookieTheft,-1,-1,-1,-1,-1,-1
184,EA-109,PupilCalib,-1,-1,-1,-1,-1,-1
185,EI-191,EI-191_allsc,-1,-1,-1,-1,-1,-1
186,EI-191,Reading,-1,-1,-1,-1,-1,-1
187,EI-191,Memory,-1,-1,-1,-1,-1,-1
188,EI-191,CookieTheft,-1,-1,-1,-1,-1,-1
189,EI-191,PupilCalib,-1,-1,-1,-1,-1,-1
190,EE-093,EE-093_allsc,-1,-1,-1,-1,-1,-1
191,EE-093,Reading,-1,-1,-1,-1,-1,-1
192,EE-093,Memory,-1,-1,-1,-1,-1,-1
193,EE-093,CookieTheft,-1,-1,-1,-1,-1,-1
194,EE-093,PupilCalib,-1,-1,-1,-1,-1,-1
195,HE-022,HE-022_allsc,-1,-1,-1,-1,-1,-1
196,HE-022,Reading,-1,-1,-1,-1,-1,-1
197,HE-022,Memory,-1,-1,-1,-1,-1,-1
198,HE-022,CookieTheft,-1,-1,-1,-1,-1,-1
199,HE-022,PupilCalib,-1,-1,-1,-1,-1,-1
200,HA-154,HA-154_allsc,-1,-1,-1,-1,-1,-1
201,HA-154,Reading,-1,-1,-1,-1,-1,-1
202,HA-154,Memory,-1,-1,-1,-1,-1,-1
203,HA-154,CookieTheft,-1,-1,-1,-1,-1,-1
204,HA-154,PupilCalib,-1,-1,-1,-1,-1,-1
205,EA-194,EA-194_allsc,-1,-1,-1,-1,-1,-1
206,EA-194,Reading,-1,-1,-1,-1,-1,-1
207,EA-194,Memory,-1,-1,-1,-1,-1,-1
208,EA-194,CookieTheft,-1,-1,-1,-1,-1,-1
209,EA-194,PupilCalib,-1,-1,-1,-1,-1,-1
210,HI-052,HI-052_allsc,-1,-1,-1,-1,-1,-1
211,HI-052,Reading,-1,-1,-1,-1,-1,-1
212,HI-052,Memory,-1,-1,-1,-1,-1,-1
213,HI-052,CookieTheft,-1,-1,-1,-1,-1,-1
214,HI-052,PupilCalib,-1,-1,-1,-1,-1,-1
215,EO-021,EO-021_allsc,-1,-1,-1,-1,-1,-1
216,EO-021,Reading,-1,-1,-1,-1,-1,-1
217,EO-021,Memory,-1,-1,-1,-1,-1,-1
218,EO-021,CookieTheft,-1,-1,-1,-1,-1,-1
219,EO-021,PupilCalib,-1,-1,-1,-1,-1,-1
220,HA-181,HA-181_allsc,-1,-1,-1,-1,-1,-1
221,HA-181,Reading,-1,-1,-1,-1,-1,-1
222,HA-181,Memory,-1,-1,-1,-1,-1,-1
223,HA-181,CookieTheft,-1,-1,-1,-1,-1,-1
224,HA-181,PupilCalib,-1,-1,-1,-1,-1,-1
225,HO-033,HO-033_allsc,-1,-1,-1,-1,-1,-1
226,HO-033,Reading,-1,-1,-1,-1,-1,-1
227,HO-033,Memory,-1,-1,-1,-1,-1,-1
228,HO-033,CookieTheft,-1,-1,-1,-1,-1,-1
229,HO-033,PupilCalib,-1,-1,-1,-1,-1,-1
230,EA-063,EA-063_allsc,-1,-1,-1,-1,-1,-1
231,EA-063,Reading,-1,-1,-1,-1,-1,-1
232,EA-063,Memory,-1,-1,-1,-1,-1,-1
233,EA-063,CookieTheft,-1,-1,-1,-1,-1,-1
234,EA-063,PupilCalib,-1,-1,-1,-1,-1,-1
235,EY-035,EY-035_allsc,-1,-1,-1,-1,-1,-1
236,EY-035,Reading,-1,-1,-1,-1,-1,-1
237,EY-035,Memory,-1,-1,-1,-1,-1,-1
238,EY-035,CookieTheft,-1,-1,-1,-1,-1,-1
239,EY-035,PupilCalib,-1,-1,-1,-1,-1,-1
240,EA-007,EA-007_allsc,-1,-1,-1,-1,-1,-1
241,EA-007,Reading,-1,-1,-1,-1,-1,-1
242,EA-007,Memory,-1,-1,-1,-1,-1,-1
243,EA-007,CookieTheft,-1,-1,-1,-1,-1,-1
244,EA-007,PupilCalib,-1,-1,-1,-1,-1,-1
245,HL-074,HL-074_allsc,-1,-1,-1,-1,-1,-1
246,HL-074,Reading,-1,-1,-1,-1,-1,-1
247,HL-074,Memory,-1,-1,-1,-1,-1,-1
248,HL-074,CookieTheft,-1,-1,-1,-1,-1,-1
249,HL-074,PupilCalib,-1,-1,-1,-1,-1,-1
250,HO-193,HO-193_allsc,-1,-1,-1,-1,-1,-1
251,HO-193,Reading,-1,-1,-1,-1,-1,-1
252,HO-193,Memory,-1,-1,-1,-1,-1,-1
253,HO-193,CookieTheft,-1,-1,-1,-1,-1,-1
254,HO-193,PupilCalib,-1,-1,-1,-1,-1,-1
255,EO-080,EO-080_allsc,-1,-1,-1,-1,-1,-1
256,EO-080,Reading,-1,-1,-1,-1,-1,-1
257,EO-080,Memory,-1,-1,-1,-1,-1,-1
258,EO-080,CookieTheft,-1,-1,-1,-1,-1,-1
259,EO-080,PupilCalib,-1,-1,-1,-1,-1,-1
260,EI-023,EI-023_allsc,-1,-1,-1,-1,-1,-1
261,EI-023,Reading,-1,-1,-1,-1,-1,-1
262,EI-023,Memory,-1,-1,-1,-1,-1,-1
263,EI-023,CookieTheft,-1,-1,-1,-1,-1,-1
264,EI-023,PupilCalib,-1,-1,-1,-1,-1,-1
265,EA-184,EA-184_allsc,-1,-1,-1,-1,-1,-1
266,EA-184,Reading,-1,-1,-1,-1,-1,-1
267,EA-184,Memory,-1,-1,-1,-1,-1,-1
268,EA-184,CookieTheft,-1,-1,-1,-1,-1,-1
269,EA-184,PupilCalib,-1,-1,-1,-1,-1,-1
270,HA-027,HA-027_allsc,-1,-1,-1,-1,-1,-1
271,HA-027,Reading,-1,-1,-1,-1,-1,-1
272,HA-027,Memory,-1,-1,-1,-1,-1,-1
273,HA-027,CookieTheft,-1,-1,-1,-1,-1,-1
274,HA-027,PupilCalib,-1,-1,-1,-1,-1,-1
275,HI-041,HI-041_allsc,-1,-1,-1,-1,-1,-1
276,HI-041,Reading,-1,-1,-1,-1,-1,-1
277,HI-041,Memory,-1,-1,-1,-1,-1,-1
278,HI-041,CookieTheft,-1,-1,-1,-1,-1,-1
279,HI-041,PupilCalib,-1,-1,-1,-1,-1,-1
280,EO-026,EO-026_allsc,-1,-1,-1,-1,-1,-1
281,EO-026,Reading,-1,-1,-1,-1,-1,-1
282,EO-026,Memory,-1,-1,-1,-1,-1,-1
283,EO-026,CookieTheft,-1,-1,-1,-1,-1,-1
284,EO-026,PupilCalib,-1,-1,-1,-1,-1,-1
285,HI-034,HI-034_allsc,-1,-1,-1,-1,-1,-1
286,HI-034,Reading,-1,-1,-1,-1,-1,-1
287,HI-034,Memory,-1,-1,-1,-1,-1,-1
288,HI-034,CookieTheft,-1,-1,-1,-1,-1,-1
289,HI-034,PupilCalib,-1,-1,-1,-1,-1,-1
290,HA-066,HA-066_allsc,-1,-1,-1,-1,-1,-1
291,HA-066,Reading,-1,-1,-1,-1,-1,-1
292,HA-066,Memory,-1,-1,-1,-1,-1,-1
293,HA-066,CookieTheft,-1,-1,-1,-1,-1,-1
294,HA-066,PupilCalib,-1,-1,-1,-1,-1,-1
295,EU-015,EU-015_allsc,-1,-1,-1,-1,-1,-1
296,EU-015,Reading,-1,-1,-1,-1,-1,-1
297,EU-015,Memory,-1,-1,-1,-1,-1,-1
298,EU-015,CookieTheft,-1,-1,-1,-1,-1,-1
299,EU-015,PupilCalib,-1,-1,-1,-1,-1,-1
300,HE-012,HE-012_allsc,-1,-1,-1,-1,-1,-1
301,HE-012,Reading,-1,-1,-1,-1,-1,-1
302,HE-012,Memory,-1,-1,-1,-1,-1,-1
303,HE-012,CookieTheft,-1,-1,-1,-1,-1,-1
304,HE-012,PupilCalib,-1,-1,-1,-1,-1,-1
305,HO-188,HO-188_allsc,-1,-1,-1,-1,-1,-1
306,HO-188,Reading,-1,-1,-1,-1,-1,-1
307,HO-188,Memory,-1,-1,-1,-1,-1,-1
308,HO-188,CookieTheft,-1,-1,-1,-1,-1,-1
309,HO-188,PupilCalib,-1,-1,-1,-1,-1,-1
310,HA-039,HA-039_allsc,-1,-1,-1,-1,-1,-1
311,HA-039,Reading,-1,-1,-1,-1,-1,-1
312,HA-039,Memory,-1,-1,-1,-1,-1,-1
313,HA-039,CookieTheft,-1,-1,-1,-1,-1,-1
314,HA-039,PupilCalib,-1,-1,-1,-1,-1,-1
315,HA-128,HA-128_allsc,-1,-1,-1,-1,-1,-1
316,HA-128,Reading,-1,-1,-1,-1,-1,-1
317,HA-128,Memory,-1,-1,-1,-1,-1,-1
318,HA-128,CookieTheft,-1,-1,-1,-1,-1,-1
319,HA-128,PupilCalib,-1,-1,-1,-1,-1,-1
320,EA-049,EA-049_allsc,-1,-1,-1,-1,-1,-1
321,EA-049,Reading,-1,-1,-1,-1,-1,-1
322,EA-049,Memory,-1,-1,-1,-1,-1,-1
323,EA-049,CookieTheft,-1,-1,-1,-1,-1,-1
324,EA-049,PupilCalib,-1,-1,-1,-1,-1,-1
325,EH-061,EH-061_allsc,-1,-1,-1,-1,-1,-1
326,EH-061,Reading,-1,-1,-1,-1,-1,-1
327,EH-061,Memory,-1,-1,-1,-1,-1,-1
328,EH-061,CookieTheft,-1,-1,-1,-1,-1,-1
329,EH-061,PupilCalib,-1,-1,-1,-1,-1,-1
330,HE-099,HE-099_allsc,-1,-1,-1,-1,-1,-1
331,HE-099,Reading,-1,-1,-1,-1,-1,-1
332,HE-099,Memory,-1,-1,-1,-1,-1,-1
333,HE-099,CookieTheft,-1,-1,-1,-1,-1,-1
334,HE-099,PupilCalib,-1,-1,-1,-1,-1,-1
335,HS-085,HS-085_allsc,-1,-1,-1,-1,-1,-1
336,HS-085,Reading,-1,-1,-1,-1,-1,-1
337,HS-085,Memory,-1,-1,-1,-1,-1,-1
338,HS-085,CookieTheft,-1,-1,-1,-1,-1,-1
339,HS-085,PupilCalib,-1,-1,-1,-1,-1,-1
340,HU-048,HU-048_allsc,-1,-1,-1,-1,-1,-1
341,HU-048,Reading,-1,-1,-1,-1,-1,-1
342,HU-048,Memory,-1,-1,-1,-1,-1,-1
343,HU-048,CookieTheft,-1,-1,-1,-1,-1,-1
344,HU-048,PupilCalib,-1,-1,-1,-1,-1,-1
345,HL-111,HL-111_allsc,-1,-1,-1,-1,-1,-1
346,HL-111,Reading,-1,-1,-1,-1,-1,-1
347,HL-111,Memory,-1,-1,-1,-1,-1,-1
348,HL-111,CookieTheft,-1,-1,-1,-1,-1,-1
349,HL-111,PupilCalib,-1,-1,-1,-1,-1,-1
350,HP-138,HP-138_allsc,-1,-1,-1,-1,-1,-1
351,HP-138,Reading,-1,-1,-1,-1,-1,-1
352,HP-138,Memory,-1,-1,-1,-1,-1,-1
353,HP-138,CookieTheft,-1,-1,-1,-1,-1,-1
354,HP-138,PupilCalib,-1,-1,-1,-1,-1,-1
355,EO-166,EO-166_allsc,-1,-1,-1,-1,-1,-1
356,EO-166,Reading,-1,-1,-1,-1,-1,-1
357,EO-166,Memory,-1,-1,-1,-1,-1,-1
358,EO-166,CookieTheft,-1,-1,-1,-1,-1,-1
359,EO-166,PupilCalib,-1,-1,-1,-1,-1,-1
360,EA-141,EA-141_allsc,-1,-1,-1,-1,-1,-1
361,EA-141,Reading,-1,-1,-1,-1,-1,-1
362,EA-141,Memory,-1,-1,-1,-1,-1,-1
363,EA-141,CookieTheft,-1,-1,-1,-1,-1,-1
364,EA-141,PupilCalib,-1,-1,-1,-1,-1,-1
365,HI-148,HI-148_allsc,-1,-1,-1,-1,-1,-1
366,HI-148,Reading,-1,-1,-1,-1,-1,-1
367,HI-148,Memory,-1,-1,-1,-1,-1,-1
368,HI-148,CookieTheft,-1,-1,-1,-1,-1,-1
369,HI-148,PupilCalib,-1,-1,-1,-1,-1,-1
370,HO-038,HO-038_allsc,-1,-1,-1,-1,-1,-1
371,HO-038,Reading,-1,-1,-1,-1,-1,-1
372,HO-038,Memory,-1,-1,-1,-1,-1,-1
373,HO-038,CookieTheft,-1,-1,-1,-1,-1,-1
374,HO-038,PupilCalib,-1,-1,-1,-1,-1,-1
375,ER-167,ER-167_allsc,-1,-1,-1,-1,-1,-1
376,ER-167,Reading,-1,-1,-1,-1,-1,-1
377,ER-167,Memory,-1,-1,-1,-1,-1,-1
378,ER-167,CookieTheft,-1,-1,-1,-1,-1,-1
379,ER-167,PupilCalib,-1,-1,-1,-1,-1,-1
380,HA-103,HA-103_allsc,-1,-1,-1,-1,-1,-1
381,HA-103,Reading,-1,-1,-1,-1,-1,-1
382,HA-103,Memory,-1,-1,-1,-1,-1,-1
383,HA-103,CookieTheft,-1,-1,-1,-1,-1,-1
384,HA-103,PupilCalib,-1,-1,-1,-1,-1,-1
385,HO-158,HO-158_allsc,-1,-1,-1,-1,-1,-1
386,HO-158,Reading,-1,-1,-1,-1,-1,-1
387,HO-158,Memory,-1,-1,-1,-1,-1,-1
388,HO-158,CookieTheft,-1,-1,-1,-1,-1,-1
389,HO-158,PupilCalib,-1,-1,-1,-1,-1,-1
390,EO-054,EO-054_allsc,-1,-1,-1,-1,-1,-1
391,EO-054,Reading,-1,-1,-1,-1,-1,-1
392,EO-054,Memory,-1,-1,-1,-1,-1,-1
393,EO-054,CookieTheft,-1,-1,-1,-1,-1,-1
394,EO-054,PupilCalib,-1,-1,-1,-1,-1,-1
395,HA-016,HA-016_allsc,-1,-1,-1,-1,-1,-1
396,HA-016,Reading,-1,-1,-1,-1,-1,-1
397,HA-016,Memory,-1,-1,-1,-1,-1,-1
398,HA-016,CookieTheft,-1,-1,-1,-1,-1,-1
399,HA-016,PupilCalib,-1,-1,-1,-1,-1,-1
400,EE-031,EE-031_allsc,-1,-1,-1,-1,-1,-1
401,EE-031,CookieTheft,-1,-1,-1,-1,-1,-1
402,HU-079,HU-079_allsc,-1,-1,-1,-1,-1,-1
403,HU-079,Reading,-1,-1,-1,-1,-1,-1
404,HU-079,Memory,-1,-1,-1,-1,-1,-1
405,HU-079,CookieTheft,-1,-1,-1,-1,-1,-1
406,HU-079,PupilCalib,-1,-1,-1,-1,-1,-1
407,HI-042,HI-042_allsc,-1,-1,-1,-1,-1,-1
408,HI-042,Reading,-1,-1,-1,-1,-1,-1
409,HI-042,Memory,-1,-1,-1,-1,-1,-1
410,HI-042,CookieTheft,-1,-1,-1,-1,-1,-1
411,HI-042,PupilCalib,-1,-1,-1,-1,-1,-1
412,HA-0002,HA-0002_allsc,-1,-1,-1,-1,-1,-1
413,HA-0002,Reading,-1,-1,-1,-1,-1,-1
414,HA-0002,Memory,-1,-1,-1,-1,-1,-1
415,HA-0002,CookieTheft,-1,-1,-1,-1,-1,-1
416,HA-0002,PupilCalib,-1,-1,-1,-1,-1,-1
417,EI-112,EI-112_allsc,-1,-1,-1,-1,-1,-1
418,EI-112,Reading,-1,-1,-1,-1,-1,-1
419,EI-112,Memory,-1,-1,-1,-1,-1,-1
420,EI-112,CookieTheft,-1,-1,-1,-1,-1,-1
421,EI-112,PupilCalib,-1,-1,-1,-1,-1,-1
422,HL-060,HL-060_allsc,-1,-1,-1,-1,-1,-1
423,HL-060,Reading,-1,-1,-1,-1,-1,-1
424,HL-060,Memory,-1,-1,-1,-1,-1,-1
425,HL-060,CookieTheft,-1,-1,-1,-1,-1,-1
426,HL-060,PupilCalib,-1,-1,-1,-1,-1,-1
427,EU-161,EU-161_allsc,-1,-1,-1,-1,-1,-1
428,EU-161,Reading,-1,-1,-1,-1,-1,-1
429,EU-161,Memory,-1,-1,-1,-1,-1,-1
430,EU-161,CookieTheft,-1,-1,-1,-1,-1,-1
431,EU-161,PupilCalib,-1,-1,-1,-1,-1,-1
432,HA-058,HA-058_allsc,-1,-1,-1,-1,-1,-1
433,HA-058,Reading,-1,-1,-1,-1,-1,-1
434,HA-058,Memory,-1,-1,-1,-1,-1,-1
435,HA-058,CookieTheft,-1,-1,-1,-1,-1,-1
436,HA-058,PupilCalib,-1,-1,-1,-1,-1,-1
437,HH-076,HH-076_allsc,-1,-1,-1,-1,-1,-1
438,HH-076,CookieTheft,-1,-1,-1,-1,-1,-1
439,HH-076,PupilCalib,-1,-1,-1,-1,-1,-1
440,HO-032,HO-032_allsc,-1,-1,-1,-1,-1,-1
441,HO-032,Reading,-1,-1,-1,-1,-1,-1
442,HO-032,Memory,-1,-1,-1,-1,-1,-1
443,HO-032,CookieTheft,-1,-1,-1,-1,-1,-1
