,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
0,EO-091,EO-091_allsc,-1,-1,-1,-1,-1,-1
1,EO-091,Reading,-1,-1,-1,-1,-1,-1
2,EO-091,Memory,-1,-1,-1,-1,-1,-1
3,EO-091,CookieTheft,-1,-1,-1,-1,-1,-1
4,EO-091,PupilCalib,-1,-1,-1,-1,-1,-1
5,HA-196,HA-196_allsc,-1,-1,-1,-1,-1,-1
6,HA-196,Reading,-1,-1,-1,-1,-1,-1
7,HA-196,Memory,-1,-1,-1,-1,-1,-1
8,HA-196,CookieTheft,-1,-1,-1,-1,-1,-1
9,HA-196,PupilCalib,-1,-1,-1,-1,-1,-1
10,EA-069,EA-069_allsc,-1,-1,-1,-1,-1,-1
11,EA-069,Reading,-1,-1,-1,-1,-1,-1
12,EA-069,Memory,-1,-1,-1,-1,-1,-1
13,EA-069,CookieTheft,-1,-1,-1,-1,-1,-1
14,EA-069,PupilCalib,-1,-1,-1,-1,-1,-1
15,HI-097,HI-097_allsc,-1,-1,-1,-1,-1,-1
16,HI-097,Reading,-1,-1,-1,-1,-1,-1
17,HI-097,Memory,-1,-1,-1,-1,-1,-1
18,HI-097,CookieTheft,-1,-1,-1,-1,-1,-1
19,HI-097,PupilCalib,-1,-1,-1,-1,-1,-1
20,HN-183,HN-183_allsc,-1,-1,-1,-1,-1,-1
21,HN-183,Reading,-1,-1,-1,-1,-1,-1
22,HN-183,Memory,-1,-1,-1,-1,-1,-1
23,HN-183,CookieTheft,-1,-1,-1,-1,-1,-1
24,HN-183,PupilCalib,-1,-1,-1,-1,-1,-1
25,EL-122,EL-122_allsc,-1,-1,-1,-1,-1,-1
26,EL-122,Reading,-1,-1,-1,-1,-1,-1
27,EL-122,Memory,-1,-1,-1,-1,-1,-1
28,EL-122,CookieTheft,-1,-1,-1,-1,-1,-1
29,EI-170,EI-170_allsc,-1,-1,-1,-1,-1,-1
30,EI-170,Reading,-1,-1,-1,-1,-1,-1
31,EI-170,Memory,-1,-1,-1,-1,-1,-1
32,EI-170,CookieTheft,-1,-1,-1,-1,-1,-1
33,EI-170,PupilCalib,-1,-1,-1,-1,-1,-1
34,EO-094,EO-094_allsc,-1,-1,-1,-1,-1,-1
35,EO-094,Reading,-1,-1,-1,-1,-1,-1
36,EO-094,Memory,-1,-1,-1,-1,-1,-1
37,EO-094,CookieTheft,-1,-1,-1,-1,-1,-1
38,EO-094,PupilCalib,-1,-1,-1,-1,-1,-1
39,HH-053,HH-053_allsc,-1,-1,-1,-1,-1,-1
40,HH-053,Reading,-1,-1,-1,-1,-1,-1
41,HH-053,Memory,-1,-1,-1,-1,-1,-1
42,HH-053,CookieTheft,-1,-1,-1,-1,-1,-1
43,HH-053,PupilCalib,-1,-1,-1,-1,-1,-1
44,EY-088,EY-088_allsc,-1,-1,-1,-1,-1,-1
45,EY-088,Reading,-1,-1,-1,-1,-1,-1
46,EY-088,Memory,-1,-1,-1,-1,-1,-1
47,EY-088,CookieTheft,-1,-1,-1,-1,-1,-1
48,EY-088,PupilCalib,-1,-1,-1,-1,-1,-1
49,HL-062,HL-062_allsc,-1,-1,-1,-1,-1,-1
50,HL-062,Memory,-1,-1,-1,-1,-1,-1
51,HL-062,PupilCalib,-1,-1,-1,-1,-1,-1
52,EE-087,EE-087_allsc,-1,-1,-1,-1,-1,-1
53,EE-087,Reading,-1,-1,-1,-1,-1,-1
54,EE-087,Memory,-1,-1,-1,-1,-1,-1
55,EE-087,CookieTheft,-1,-1,-1,-1,-1,-1
56,EE-087,PupilCalib,-1,-1,-1,-1,-1,-1
57,HI-131,HI-131_allsc,-1,-1,-1,-1,-1,-1
58,HI-131,Reading,-1,-1,-1,-1,-1,-1
59,HI-131,Memory,-1,-1,-1,-1,-1,-1
60,HI-131,CookieTheft,-1,-1,-1,-1,-1,-1
61,HI-131,PupilCalib,-1,-1,-1,-1,-1,-1
62,EO-005,EO-005_allsc,-1,-1,-1,-1,-1,-1
63,EO-005,Reading,-1,-1,-1,-1,-1,-1
64,EO-005,Memory,-1,-1,-1,-1,-1,-1
65,EO-005,CookieTheft,-1,-1,-1,-1,-1,-1
66,EA-127,EA-127_allsc,-1,-1,-1,-1,-1,-1
67,EA-127,Reading,-1,-1,-1,-1,-1,-1
68,EA-127,Memory,-1,-1,-1,-1,-1,-1
69,EA-127,CookieTheft,-1,-1,-1,-1,-1,-1
70,EA-127,PupilCalib,-1,-1,-1,-1,-1,-1
71,HU-153,HU-153_allsc,-1,-1,-1,-1,-1,-1
72,HU-153,Reading,-1,-1,-1,-1,-1,-1
73,HU-153,Memory,-1,-1,-1,-1,-1,-1
74,HU-153,CookieTheft,-1,-1,-1,-1,-1,-1
75,HU-153,PupilCalib,-1,-1,-1,-1,-1,-1
76,EA-152,EA-152_allsc,-1,-1,-1,-1,-1,-1
77,EA-152,Reading,-1,-1,-1,-1,-1,-1
78,EA-152,Memory,-1,-1,-1,-1,-1,-1
79,EA-152,CookieTheft,-1,-1,-1,-1,-1,-1
80,EA-152,PupilCalib,-1,-1,-1,-1,-1,-1
81,HI-120,HI-120_allsc,-1,-1,-1,-1,-1,-1
82,HI-120,Reading,-1,-1,-1,-1,-1,-1
83,HI-120,Memory,-1,-1,-1,-1,-1,-1
84,HI-120,CookieTheft,-1,-1,-1,-1,-1,-1
85,HI-120,PupilCalib,-1,-1,-1,-1,-1,-1
86,HA-068,HA-068_allsc,-1,-1,-1,-1,-1,-1
87,HA-068,Reading,-1,-1,-1,-1,-1,-1
88,HA-068,Memory,-1,-1,-1,-1,-1,-1
89,HA-068,CookieTheft,-1,-1,-1,-1,-1,-1
90,HA-068,PupilCalib,-1,-1,-1,-1,-1,-1
91,HO-124,HO-124_allsc,-1,-1,-1,-1,-1,-1
92,HO-124,Reading,-1,-1,-1,-1,-1,-1
93,HO-124,Memory,-1,-1,-1,-1,-1,-1
94,HO-124,CookieTheft,-1,-1,-1,-1,-1,-1
95,HO-162,HO-162_allsc,-1,-1,-1,-1,-1,-1
96,HO-162,Reading,-1,-1,-1,-1,-1,-1
97,HO-162,Memory,-1,-1,-1,-1,-1,-1
98,HO-162,CookieTheft,-1,-1,-1,-1,-1,-1
99,HO-162,PupilCalib,-1,-1,-1,-1,-1,-1
100,HE-030,HE-030_allsc,-1,-1,-1,-1,-1,-1
101,HE-030,Reading,-1,-1,-1,-1,-1,-1
102,HE-030,Memory,-1,-1,-1,-1,-1,-1
103,HE-030,CookieTheft,-1,-1,-1,-1,-1,-1
104,HE-030,PupilCalib,-1,-1,-1,-1,-1,-1
105,EI-137,EI-137_allsc,-1,-1,-1,-1,-1,-1
106,EI-137,Reading,-1,-1,-1,-1,-1,-1
107,EI-137,Memory,-1,-1,-1,-1,-1,-1
108,EI-137,CookieTheft,-1,-1,-1,-1,-1,-1
109,EI-137,PupilCalib,-1,-1,-1,-1,-1,-1
110,HO-075,HO-075_allsc,-1,-1,-1,-1,-1,-1
111,HO-075,Reading,-1,-1,-1,-1,-1,-1
112,HO-075,Memory,-1,-1,-1,-1,-1,-1
113,HO-075,CookieTheft,-1,-1,-1,-1,-1,-1
114,HO-075,PupilCalib,-1,-1,-1,-1,-1,-1
115,EL-185,EL-185_allsc,-1,-1,-1,-1,-1,-1
116,EL-185,Reading,-1,-1,-1,-1,-1,-1
117,EL-185,Memory,-1,-1,-1,-1,-1,-1
118,EL-185,CookieTheft,-1,-1,-1,-1,-1,-1
119,EL-185,PupilCalib,-1,-1,-1,-1,-1,-1
120,HA-092,HA-092_allsc,-1,-1,-1,-1,-1,-1
121,HA-092,Reading,-1,-1,-1,-1,-1,-1
122,HA-092,Memory,-1,-1,-1,-1,-1,-1
123,HA-092,CookieTheft,-1,-1,-1,-1,-1,-1
124,HA-092,PupilCalib,-1,-1,-1,-1,-1,-1
125,EE-174,EE-174_allsc,-1,-1,-1,-1,-1,-1
126,EE-174,Reading,-1,-1,-1,-1,-1,-1
127,EE-174,Memory,-1,-1,-1,-1,-1,-1
128,EE-174,CookieTheft,-1,-1,-1,-1,-1,-1
129,EE-174,PupilCalib,-1,-1,-1,-1,-1,-1
130,HA-065,HA-065_allsc,-1,-1,-1,-1,-1,-1
131,HA-065,Reading,-1,-1,-1,-1,-1,-1
132,HA-065,Memory,-1,-1,-1,-1,-1,-1
133,HA-065,CookieTheft,-1,-1,-1,-1,-1,-1
134,HA-065,PupilCalib,-1,-1,-1,-1,-1,-1
135,HH-056,HH-056_allsc,-1,-1,-1,-1,-1,-1
136,HH-056,Reading,-1,-1,-1,-1,-1,-1
137,HH-056,Memory,-1,-1,-1,-1,-1,-1
138,HH-056,CookieTheft,-1,-1,-1,-1,-1,-1
139,HH-056,PupilCalib,-1,-1,-1,-1,-1,-1
140,HR-102,HR-102_allsc,-1,-1,-1,-1,-1,-1
141,HR-102,Reading,-1,-1,-1,-1,-1,-1
142,HR-102,Memory,-1,-1,-1,-1,-1,-1
143,HR-102,CookieTheft,-1,-1,-1,-1,-1,-1
144,HR-102,PupilCalib,-1,-1,-1,-1,-1,-1
145,EE-100,EE-100_allsc,-1,-1,-1,-1,-1,-1
146,EE-100,Reading,-1,-1,-1,-1,-1,-1
147,EE-100,Memory,-1,-1,-1,-1,-1,-1
148,EE-100,CookieTheft,-1,-1,-1,-1,-1,-1
149,EE-100,PupilCalib,-1,-1,-1,-1,-1,-1
150,HE-130,HE-130_allsc,-1,-1,-1,-1,-1,-1
151,HE-130,Reading,-1,-1,-1,-1,-1,-1
152,HE-130,Memory,-1,-1,-1,-1,-1,-1
153,HE-130,CookieTheft,-1,-1,-1,-1,-1,-1
