,interview,task,numfixations,fixationrate,meanfixationduration,stddevfixationduration,sumfixationduration
167,EI-112,EI-112_allsc,81,0.000543281419775,269.320987654,381.94275838,21815
168,EI-112,Reading,29,0.000577746787529,169.24137931,76.2409972074,4908
169,EI-112,Memory,13,0.000219583467054,207.769230769,272.491025493,2701
170,EI-112,CookieTheft,31,0.00106907611132,232.193548387,135.039850749,7198
171,EI-112,PupilCalib,8,0.000747733433031,876.0,981.446163286,7008
172,EI-137,EI-137_allsc,121,0.000580611417412,242.223140496,190.86375977,29309
173,EI-137,Reading,43,0.000717911045813,218.651162791,170.771621893,9402
174,EI-137,Memory,35,0.00032679433432,217.142857143,182.282447746,7600
175,EI-137,CookieTheft,26,0.000935083618054,219.538461538,144.037003793,5708
176,EI-137,PupilCalib,17,0.00125009191852,388.176470588,259.425383129,6599
177,EI-170,EI-170_allsc,313,0.00108761371297,247.693290735,228.668796403,77528
178,EI-170,Reading,49,0.000776631322017,220.346938776,144.31729381,10797
179,EI-170,Memory,140,0.0012522697389,237.942857143,172.282759524,33312
180,EI-170,CookieTheft,119,0.00117129442799,225.369747899,202.576784586,26819
181,EI-170,PupilCalib,5,0.000442517036906,1320.0,349.284983931,6600
182,EI-191,EI-191_allsc,160,0.000496302546032,326.69375,369.027670161,52271
183,EI-191,Reading,35,0.000675753948334,237.142857143,197.194759335,8300
184,EI-191,Memory,54,0.000380834167877,234.851851852,197.445708555,12682
185,EI-191,CookieTheft,60,0.000515920445067,363.283333333,415.780177076,21797
186,EI-191,PupilCalib,11,0.000880070405632,862.909090909,639.197223796,9492
187,EL-003,EL-003_allsc,63,0.000273325986794,269.904761905,305.514041401,17004
188,EL-003,Reading,40,0.000311274357218,230.15,233.276830155,9206
189,EL-003,Memory,1,2.21744240193e-05,100.0,0.0,100
190,EL-003,CookieTheft,21,0.000455590749338,295.142857143,319.852041687,6198
191,EL-003,PupilCalib,1,9.26011667747e-05,1500.0,0.0,1500
192,EL-122,EL-122_allsc,51,0.000323591741431,180.411764706,114.56145538,9201
193,EL-122,Reading,29,0.000463251385761,164.965517241,96.9279860657,4784
194,EL-122,Memory,10,0.000142452171683,231.6,162.255765177,2316
195,EL-122,CookieTheft,12,0.000483753930501,175.083333333,105.636992774,2101
196,EL-156,EL-156_allsc,538,0.000791075259489,248.128252788,243.149233247,133493
197,EL-156,Reading,45,0.000657001445403,186.666666667,107.871977994,8400
198,EL-156,Memory,266,0.000775514726033,230.443609023,219.691581877,61298
199,EL-156,CookieTheft,213,0.000829772065899,266.647887324,253.793172659,56796
200,EL-156,PupilCalib,14,0.00117656945962,499.928571429,524.56582256,6999
201,EL-185,EL-185_allsc,159,0.000926595025525,267.320754717,387.679943042,42504
202,EL-185,Reading,50,0.000945143850894,228.0,173.777361669,11400
203,EL-185,Memory,40,0.000760427360176,230.175,201.530793919,9207
204,EL-185,CookieTheft,61,0.00111529601053,209.819672131,175.770732129,12799
205,EL-185,PupilCalib,8,0.000701877522372,1137.25,1333.14351923,9098
206,EO-005,EO-005_allsc,121,0.000491270807958,304.231404959,268.466253631,36812
207,EO-005,Reading,27,0.000436871996505,192.851851852,177.830235316,5207
208,EO-005,Memory,6,8.01057395762e-05,150.166666667,83.7864348607,901
209,EO-005,CookieTheft,88,0.000802949012738,348.909090909,286.44799076,30704
210,EO-008,EO-008_allsc,153,0.000986498510581,353.535947712,340.075688676,54091
211,EO-008,Reading,73,0.00109949694249,279.397260274,216.00596312,20396
212,EO-008,Memory,18,0.000559058297357,489.222222222,435.928698373,8806
213,EO-008,CookieTheft,57,0.00126397019691,301.719298246,223.999103505,17198
214,EO-008,PupilCalib,5,0.00043832734286,1538.2,262.853951844,7691
215,EO-011,EO-011_allsc,12,8.83613389688e-05,291.583333333,227.506426816,3499
216,EO-011,Memory,6,0.000101696638926,216.666666667,147.196014439,1300
217,EO-011,CookieTheft,4,6.06925014414e-05,224.75,95.8310144647,899
218,EO-011,PupilCalib,2,0.000183469406476,650.0,353.553390593,1300
219,EO-021,EO-021_allsc,54,0.000306790291792,276.166666667,281.343994775,14913
220,EO-021,Reading,20,0.000345405246706,394.95,376.220186789,7899
221,EO-021,Memory,8,0.000147318797879,188.5,189.211144341,1508
222,EO-021,CookieTheft,24,0.000446080071373,183.625,137.074658331,4407
223,EO-021,PupilCalib,2,0.000199860097931,549.5,352.846283812,1099
224,EO-026,EO-026_allsc,43,0.000252033854594,258.488372093,289.261405265,11115
225,EO-026,Reading,7,0.000152828417353,114.285714286,37.7964473009,800
226,EO-026,Memory,5,9.07424547649e-05,120.0,44.72135955,600
227,EO-026,CookieTheft,22,0.000377352017976,177.636363636,119.972435507,3908
228,EO-026,PupilCalib,9,0.000788989217147,645.222222222,427.793693788,5807
229,EO-054,EO-054_allsc,83,0.000569269072229,265.036144578,494.857073374,21998
230,EO-054,Reading,37,0.000694248991463,178.378378378,97.5680250877,6600
231,EO-054,Memory,25,0.000589594830433,163.68,131.888437704,4092
232,EO-054,CookieTheft,17,0.000419701271448,247.470588235,200.055654021,4207
233,EO-054,PupilCalib,4,0.000416710073966,1774.75,1734.26744862,7099
234,EO-080,EO-080_allsc,47,0.000469539850946,291.574468085,272.41797686,13704
235,EO-080,Reading,1,3.28979833536e-05,100.0,0.0,100
236,EO-080,Memory,6,0.000209022818324,283.333333333,278.687399548,1700
237,EO-080,CookieTheft,23,0.000836454885988,222.0,231.294184968,5106
