settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
_Eye_Reading,RandomForest,0.67,0.75,0.62,0.67,0.61,0.72,0.03,0.04,0.04,0.05,0.03,0.03
_Eye_Reading,GausNaiveBayes,0.65,0.72,0.53,0.69,0.46,0.81,0.01,0.02,0.05,0.02,0.02,0.01
_Eye_Reading,LogReg,0.68,0.73,0.62,0.69,0.6,0.75,0.01,0.02,0.01,0.02,0.02,0.01
