settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
_Language,RandomForest,0.68,0.73,0.66,0.69,0.65,0.72,0.02,0.03,0.03,0.04,0.02,0.03
_Language,GausNaiveBayes,0.67,0.73,0.68,0.65,0.74,0.6,0.02,0.03,0.02,0.04,0.01,0.02
_Language,LogReg,0.7,0.75,0.69,0.7,0.7,0.7,0.01,0.01,0.01,0.02,0.01,0.01
