settings,model,acc,roc,f1,precision,recall,specificity
Basic,RandomForest,0.56±0.03,0.6±0.02,0.54±0.04,0.55±0.03,0.55±0.05,0.57±0.03
Basic,GausNaiveBayes,0.64±0.02,0.7±0.01,0.64±0.03,0.63±0.02,0.7±0.04,0.59±0.03
Basic,LogReg,0.65±0.02,0.68±0.02,0.61±0.02,0.65±0.02,0.61±0.04,0.68±0.02
