settings,model,acc,roc,f1,precision,recall,specificity
overall,stack,0.66±0.03,0.66±0.03,0.61±0.03,0.68±0.04,0.58±0.04,0.74±0.05
Audio,stack,0.66±0.03,0.68±0.04,0.61±0.03,0.69±0.04,0.59±0.04,0.74±0.05
CookieTheft,stack,0.67±0.04,0.67±0.04,0.64±0.04,0.67±0.04,0.64±0.05,0.7±0.05
Basic,stack,0.64±0.03,0.65±0.02,0.61±0.03,0.61±0.03,0.65±0.05,0.62±0.05
Eye,stack,0.64±0.05,0.67±0.04,0.6±0.08,0.62±0.04,0.63±0.11,0.65±0.03
Eye_Reading,stack,0.66±0.05,0.7±0.03,0.61±0.07,0.66±0.05,0.6±0.09,0.72±0.05
Language,stack,0.67±0.04,0.72±0.03,0.64±0.05,0.68±0.04,0.64±0.06,0.71±0.05
Memory,stack,0.66±0.03,0.68±0.04,0.61±0.03,0.69±0.04,0.59±0.04,0.74±0.05
NLP_Reading,stack,0.71±0.02,0.73±0.02,0.66±0.03,0.74±0.04,0.63±0.04,0.79±0.04
PupilCalib,stack,0.64±0.03,0.65±0.02,0.61±0.03,0.61±0.03,0.65±0.05,0.62±0.05
Reading,stack,0.71±0.02,0.71±0.03,0.66±0.04,0.74±0.04,0.62±0.05,0.79±0.04
