settings,model,acc,roc,f1,precision,recall,specificity
Eye,RandomForest,0.53±0.02,0.54±0.02,0.51±0.04,0.52±0.03,0.53±0.05,0.52±0.03
Eye,GausNaiveBayes,0.52±0.03,0.52±0.03,0.61±0.02,0.52±0.03,0.79±0.03,0.27±0.05
Eye,LogReg,0.53±0.03,0.53±0.03,0.25±0.08,0.24±0.06,0.29±0.11,0.76±0.09
