settings,model,acc,roc,f1,precision,recall,specificity,acc_sd,f1_sd,prec_sd,rec_sd,roc_sd,spec_sd
_ET_Basic,RandomForest,0.59,0.63,0.56,0.58,0.57,0.61,0.03,0.04,0.03,0.05,0.03,0.02
_ET_Basic,GausNaiveBayes,0.65,0.71,0.66,0.64,0.72,0.59,0.02,0.03,0.02,0.03,0.02,0.03
_ET_Basic,LogReg,0.63,0.67,0.59,0.63,0.59,0.67,0.02,0.02,0.02,0.03,0.02,0.03
